"","Binomial","elton_BodyMass.Value_g","Trophic_Level","pantheria_AdultBodyMass_g","pantheria_TrophicLevel","pantheria_GestationLen_d","pantheria_MaxLongevity_m","amniota_adult_body_mass_g","amniota_gestation_d","amniota_maximum_longevity_y","diet2_TrophicLevel","Wild"
"1","Tamiasciurus_hudsonicus",201.17,"Omnivores",200.24,2,34.25,144,210.8,37,12,"Herbivore","Wild"
"2","Tamiasciurus_douglasii",225,"Omnivores",225,2,38.98,NA,229.8,38.825,5.491666667,"Herbivore","Wild"
"3","Glaucomys_sabrinus",166,"Herbivores",137.53,2,40,156,148,40,14.2,"Omnivore","Wild"
"4","Cynomys_ludovicianus",1364,"Herbivores",797.05,1,33.46,102,1125,35.41506,18,"Herbivore","Wild"
"5","Marmota_vancouverensis",6299.99,"Herbivores",5232.43,1,31.65,NA,4750,30,12.1,"Herbivore","Wild"
"6","Tamias_striatus",111.91,"Omnivores",NA,NA,NA,NA,92.6,31.25,9.5,"Omnivore","Wild"
"7","Tamias_amoenus",50.5,"Herbivores",50.63,2,30.46,62,54.2,29.828015,5.166666667,"Omnivore",NA
"8","Tamias_minimus",135.27,"Herbivores",42.87,2,29.19,75.96,44.975,29.52292,10.15,"Herbivore",NA
"9","Castor_canadensis",21820,"Herbivores",18124.41,1,111.59,180,19928.335,114.43936,23.4,"Herbivore","Wild"
"10","Dipodomys_ordii",60.4,"Omnivores",50.4,2,29.69,117.6,49.6,29.91082,9.9,"Omnivore","Wild"
"11","Perognathus_parvus",21.78,"Omnivores",21.56,2,23.5,48,20.1,24,5.8,"Omnivore","Wild"
"12","Napaeozapus_insignis",22.3,"Omnivores",22.25,2,22.73,48,21.8,23.08286,4,"Omnivore","Wild"
"13","Zapus_hudsonius",17.12,"Omnivores",18.43,2,18.24,60,23.8,19,5.6,"Omnivore","Wild"
"14","Zapus_princeps",29,"Omnivores",27.2,2,18.11,NA,27.975,18.11,6,"Omnivore","Wild"
"15","Microtus_longicaudus",46.71,"Herbivores",44.8,1,NA,NA,32.5,NA,1.166666667,"Herbivore","Wild"
"16","Microtus_oeconomus",34.38,"Herbivores",33.1,NA,21.51,21.6,33.1,21.55978,2.166666667,"Herbivore","Wild"
"17","Microtus_montanus",36.33,"Herbivores",42.85,NA,21.13,NA,35.1,21.2176,NA,"Herbivore","Wild"
"18","Microtus_townsendii",64.75,"Herbivores",52.02,1,23.2,NA,52.2,23.0135,NA,"Herbivore","Wild"
