ID,Binomial,Replicate,Class,Order,Family,Genus,Species,Subspecies,Common_name,Location,Latitude,Longitude,System,Units,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,FBname,SpecCode,SpeciesRefNo,LongevityWild,AgeMax,LongevityCaptive,Length,LTypeMaxM,LengthFemale,LTypeMaxF,CommonLength,LTypeComM,CommonLengthF,LTypeComF,Weight,WeightFemale,MaxWeightRef,Median_T,lcl_T,ucl_T,n_T,Herbivory2,DietTroph,DietSeTroph,DietRemark,DietRef,FoodTroph,FoodSeTroph,FoodRemark,FoodRef,Troph,seTroph,TrophObserved,MaxLength_TLonly
3,Albatrossia_pectoralis,0,Actinopterygii,Gadiformes,Macrouridae,Albatrossia,pectoralis,NA,Giant grenadier,"Queen Charlotte Sound, British Columbia",51.85732,-128.86062,Marine,CPUE (Weight/ (minute towed*tow length)),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.000140722,NULL,NULL,NULL,0.001116405,NULL,0.000267206,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Giant grenadier,8435,1371,56,56,NA,210,TL,NA,NA,85,NA,NA,NA,86000,NA,56527,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),4.3,0.66,Troph of juv./adults from 1 study.,37756,3.86,0.57,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,4.30000019073486,0.660000026226044,TRUE,210
4,Albatrossia_pectoralis,0,Actinopterygii,Gadiformes,Macrouridae,Albatrossia,pectoralis,NA,Giant grenadier,"West Coast Vancouver Island, British Columbia",49.31,-126.78,Marine,CPUE (Weight/ (minute towed*tow length)),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.29E-05,NULL,NULL,NULL,0.000227353,NULL,9.66E-05,NULL,0.000158393,NULL,NULL,NULL,3.85E-05,NULL,NULL,NULL,NULL,Giant grenadier,8435,1371,56,56,NA,210,TL,NA,NA,85,NA,NA,NA,86000,NA,56527,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),4.3,0.66,Troph of juv./adults from 1 study.,37756,3.86,0.57,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,4.30000019073486,0.660000026226044,TRUE,210
5,Albatrossia_pectoralis,0,Actinopterygii,Gadiformes,Macrouridae,Albatrossia,pectoralis,NA,Giant grenadier,"Haida Gwaii, British Columbia",52,-132,Marine,CPUE (Weight/ (minute towed*tow length)),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.004810101,0.000509888,0.003479728,NULL,0.002350486,NULL,0.006118891,NULL,0.001175171,NULL,0.005813461,NULL,NULL,NULL,NULL,Giant grenadier,8435,1371,56,56,NA,210,TL,NA,NA,85,NA,NA,NA,86000,NA,56527,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),4.3,0.66,Troph of juv./adults from 1 study.,37756,3.86,0.57,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,4.30000019073486,0.660000026226044,TRUE,210
10,Albatrossia_pectoralis,1,Fish,Gadiformes,Macrouridae,Albatrossia,pectoralis,NULL,Giant grenadier,West Coast Haida Gwaii,53.338146,-132.883849,Marine,Biomass,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,364080.3087,29489.35282,364699.9346,NULL,168432.9408,NULL,321654.9175,NULL,NULL,NULL,679728.5292,NULL,NULL,NULL,NULL,Giant grenadier,8435,1371,56,56,NA,210,TL,NA,NA,85,NA,NA,NA,86000,NA,56527,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),4.3,0.66,Troph of juv./adults from 1 study.,37756,3.86,0.57,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,4.30000019073486,0.660000026226044,TRUE,210
18,Aspidophoroides_monopterygius,0,Actinopterygii,Scorpaeniformes,Agonidae,Aspidophoroides,monopterygius,NA,Alligatorfish,"NAFO division 3L within Canada EEZ",47.607599,-50.75978,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.017,0.047,0.159,1.182,0.638,1.411,0.312,0.572,0.363,0.066,0.227,0.3,0.048,0.013,0.022,0.042,0.031,0.078,0.016,0.007,0.078,0.038,0.046,0.163,0.021,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Alligatorfish,4157,7251,NA,NA,NA,22,TL,NA,NA,14.199999809265137,TL,NA,NA,NA,NA,NA,4.80000019073486,NA,NA,2,mainly animals (troph. 2.8 and up),3,NA,Troph of adults from 1 study.,37512,3.5,0.43,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,3.29999995231628,0.129999995231628,FALSE,22
20,Zoarces_americanus,0,Actinopterygii,Perciformes,Zoarcidae,Zoarces,americanus,NA,Ocean pout,"NAFO division 4T within Canada EEZ",47.637685,-63.728047,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.715,0.082,0.28,0.692,0.115,0.401,NULL,0.2,0.163,0.043,0.051,0.093,1.434,0.223,0.078,0.095,0.443,0.586,0.125,0.157,0.183,0.084,0.137,0.138,0.176,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Ocean pout,480,11954,18,NA,NA,110,TL,NA,NA,NA,NA,NA,NA,5436,NA,4926,14.5,NA,NA,2,mainly animals (troph. 2.8 and up),4.24,0.14,Troph of juv./adults from 1 study.,8999,3.36,0.41,Trophic level estimated from a number of food items using a randomized resampling routine.,12671,4.23999977111816,0.140000000596046,TRUE,110
21,Citharichthys_arctifrons,0,Actinopterygii,Pleuronectiformes,Paralichthyidae,Citharichthys,arctifrons,NA,Gulf Stream flounder,"NAFO division 4W within Canada EEZ",42.866877,-61.181309,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.021,NULL,NULL,NULL,0.262,0.258,0.208,0.173,0.487,0.214,0.145,0.023,0.091,0.008,0.031,0.02,0.008,NULL,0.028,0.516,0.712,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Gulf Stream flounder,4209,7251,NA,NA,NA,18,TL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),3.29,0.141,Troph of juv./adults from 3 studies.,37512,NA,NA,NA,NA,3.28999996185303,0.141000002622604,TRUE,18
26,Lumpenus_lampretaeformis,1,Actinopterygii,Perciformes,Stichaeidae,Lumpenus,lampretaeformis,NA,Snakeblenny,"NAFO division 4T within Canada EEZ",47.637685,-63.728047,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.172,0.555,0.01,0.016,0.034,0.015,0.221,NULL,0.104,0.236,0.347,0.063,0.041,0.465,0.292,0.105,0.101,0.325,0.025,0.031,0.14,0.097,0.314,0.477,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Snakeblenny,1380,5204,NA,NA,NA,50,TL,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.40000009536743,NA,NA,1,mainly animals (troph. 2.8 and up),NA,NA,NA,NA,3.59,0.48,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,3.58999991416931,0.479999989271164,TRUE,50
27,Nezumia_bairdii,0,Actinopterygii,Gadiformes,Macrouridae,Nezumia,bairdii,NA,Marlin-spike grenadier,"NAFO division 3Ps within Canada EEZ",46.034584,-55.995809,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.84,NULL,3.457,3.625,3.232,7.689,6.889,2.097,2.054,4.4,5.431,6.297,3,1.871,0.103,2.048,3.778,2.704,2.674,5.474,4.912,7.981,4.885,3.035,4.187,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Marlin-spike grenadier,3104,1371,11,NA,NA,40,TL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),3.34,0.128,Troph of adults from 2 studies.,8999,3.43,0.51,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,3.33999991416931,0.128000006079674,TRUE,40
28,Myoxocephalus_scorpius,1,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,scorpius,NA,Shorthorn sculpin,"NAFO 4T within Canadian EEZ",47.637685,-63.728047,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.067,NULL,NULL,NULL,0.155,0.024,0.009,0.008,0.022,0.109,0.173,0.065,0.05,0.027,0.075,0.359,0.273,0.358,0.174,0.368,0.165,0.326,0.068,0.172,0.062,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Shorthorn sculpin,1329,4698,18,NA,NA,60,TL,NA,NA,24,SL,NA,NA,NA,NA,NA,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),3.89,NA,Troph of adults from 1 study.,37512,3.76,0.79,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,3.69000005722046,0.200000002980232,FALSE,60
