"","Binomial","BodySize","LifeSpan","TrophicLevel","lpi"
"1","Aix_sponsa",657.5,22.5,"herbivore","C-LPI"
"2","Anas_acuta",872.25,27.417,"herbivore","C-LPI"
"3","Anas_americana",786,21.33333333,"herbivore","C-LPI"
"4","Anas_clypeata",613,22.34,"carnivore","C-LPI"
"5","Anas_crecca",343.8,27.1,"herbivore","C-LPI"
"6","Anas_cyanoptera",383,12.917,"herbivore","C-LPI"
"7","Anas_discors",398.5,23.25,"herbivore","C-LPI"
"8","Anas_penelope",757,35.16666667,"herbivore","C-vertebrates"
"9","Anas_platyrhynchos",1122,29.1,"omnivore","C-LPI"
"10","Anas_rubripes",1153.666667,29.1,"omnivore","C-LPI"
"11","Anas_strepera",850,28,"herbivore","C-LPI"
"12","Anser_albifrons",2387.5,47,"herbivore","C-LPI"
"13","Aythya_affinis",788.5,18.8,"carnivore","C-LPI"
"14","Aythya_americana",1056.25,22.6,"herbivore","C-LPI"
"15","Aythya_collaris",730,20.41666667,"herbivore","C-LPI"
"16","Aythya_fuligula",701.5,45.25,"carnivore","C-vertebrates"
"17","Aythya_marila",959,22.1,"carnivore","C-LPI"
"18","Aythya_valisineria",1218.666667,29.5,"herbivore","C-LPI"
"19","Branta_bernicla",1347.25,28.83333333,"herbivore","C-LPI"
"20","Branta_canadensis",3984.5,42,"herbivore","C-vertebrates"
"21","Branta_hutchinsii",3661.666667,42,"herbivore","C-LPI"
"22","Bucephala_albeola",400,18.7,"carnivore","C-LPI"
"23","Bucephala_clangula",895.93,18.41666667,"carnivore","C-LPI"
"24","Bucephala_islandica",978.575,18,"carnivore","C-LPI"
"25","Chen_caerulescens",2630.75,27.5,"herbivore","C-vertebrates"
"26","Chen_rossii",1597.5,22.5,"herbivore","C-vertebrates"
"27","Clangula_hyemalis",814,22.7,"carnivore","C-LPI"
"28","Cygnus_buccinator",10300,32.5,"herbivore","C-LPI"
"29","Cygnus_columbianus",6350,24.1,"herbivore","C-LPI"
"30","Histrionicus_histrionicus",655.625,14.6,"carnivore","C-LPI"
"31","Lophodytes_cucullatus",615.25,12.875,"omnivore","C-LPI"
"32","Melanitta_americana",NA,NA,NA,"C-vertebrates"
"33","Melanitta_fusca",1732,21.41666667,"carnivore","C-LPI"
"34","Melanitta_perspicillata",1047,9.5,"carnivore","C-vertebrates"
"35","Mergus_merganser",1462.5,14.83333333,"carnivore","C-LPI"
"36","Mergus_serrator",1042.583333,21.33333333,"carnivore","C-LPI"
"37","Oxyura_jamaicensis",550,13.6,"carnivore","C-LPI"
"38","Somateria_mollissima",2092,37.8,"carnivore","C-LPI"
"39","Somateria_spectabilis",1650,18.91666667,"carnivore","C-LPI"
"40","Aeronautes_saxatalis",31.95,10,"carnivore","C-LPI"
"41","Chaetura_pelagica",23.5,15,"carnivore","C-LPI"
"42","Chaetura_vauxi",18.225,5.1,"carnivore","C-LPI"
"43","Cypseloides_niger",42.45,16.1,"carnivore","C-LPI"
"44","Archilochus_alexandri",3.45,11,"herbivore","C-LPI"
"45","Archilochus_colubris",3.1425,9.1,"herbivore","C-LPI"
"46","Calypte_anna",4.4,8.5,"herbivore","C-LPI"
"47","Selasphorus_rufus",3.5,8.916666667,"herbivore","C-LPI"
"48","Chordeiles_minor",79.3,10,"carnivore","C-LPI"
"49","Phalaenoptilus_nuttallii",48.925,3,"carnivore","C-LPI"
"50","Aethia_psittacula",273,NA,"carnivore","C-vertebrates"
"51","Alca_torda",720,42,"carnivore","C-LPI"
"52","Alle_alle",160,25,"carnivore","C-vertebrates"
"53","Brachyramphus_brevirostris",229,NA,"carnivore","C-vertebrates"
"54","Brachyramphus_marmoratus",222,10,"carnivore","C-LPI"
"55","Cepphus_columba",487,14,"carnivore","C-LPI"
"56","Cepphus_grylle",390.5,29.91666667,"carnivore","C-LPI"
"57","Cerorhinca_monocerata",505,28.25,"carnivore","C-LPI"
"58","Fratercula_arctica",437.9166667,40.83333333,"carnivore","C-LPI"
"59","Fratercula_cirrhata",775,6,"carnivore","C-LPI"
"60","Fratercula_corniculata",581,20,"carnivore","C-vertebrates"
"61","Ptychoramphus_aleuticus",184,16.2,"carnivore","C-LPI"
"62","Synthliboramphus_antiquus",206,5,"carnivore","C-LPI"
"63","Uria_aalge",991.5,42.83333333,"carnivore","C-LPI"
"64","Uria_lomvia",964,29,"carnivore","C-LPI"
"65","Charadrius_hiaticula",64.1,20.83333333,"carnivore","C-vertebrates"
"66","Charadrius_melodus",54.40833333,14,"carnivore","C-LPI"
"67","Charadrius_montanus",100.71,10,"carnivore","C-vertebrates"
"68","Charadrius_semipalmatus",52,20.83333333,"carnivore","C-LPI"
"69","Charadrius_vociferus",94.275,10.91666667,"carnivore","C-LPI"
"70","Pluvialis_dominica",151,25.91666667,"carnivore","C-LPI"
"71","Pluvialis_fulva",145.5,25.91666667,"carnivore","C-vertebrates"
"72","Pluvialis_squatarola",224,25.58333333,"carnivore","C-LPI"
"73","Haematopus_bachmani",555,43.33333333,"carnivore","C-vertebrates"
"74","Haematopus_palliatus",560,43.33333333,"carnivore","C-vertebrates"
"75","Chlidonias_niger",63,21,"carnivore","C-LPI"
"76","Chroicocephalus_philadelphia",191,NA,"carnivore","C-LPI"
"77","Chroicocephalus_ridibundus",271.6666667,63,"carnivore","C-vertebrates"
"78","Hydrocoloeus_minutus",NA,NA,"carnivore","C-vertebrates"
"79","Hydroprogne_caspia",654.6666667,30,"carnivore","C-LPI"
"80","Larus_argentatus",1085,49,"carnivore","C-vertebrates"
"81","Larus_californicus",670.25,30,"omnivore","C-LPI"
"82","Larus_canus",415.75,33.7,"carnivore","C-LPI"
"83","Larus_delawarensis",518.5,31.8,"omnivore","C-LPI"
"84","Larus_fuscus",1010.25,49,"carnivore","C-LPI"
"85","Larus_glaucescens",1010,32,"carnivore","C-LPI"
"86","Larus_glaucoides",863,33,"carnivore","C-LPI"
"87","Larus_heermanni",500,24,"carnivore","C-vertebrates"
"88","Larus_hyperboreus",1605.5,21.08333333,"carnivore","C-LPI"
"89","Larus_marinus",1658.5,29.16666667,"omnivore","C-LPI"
"90","Larus_occidentalis",931.5,33.91666667,"carnivore","C-vertebrates"
"91","Larus_thayeri",1012.625,49,"omnivore","C-vertebrates"
"92","Leucophaeus_atricilla",NA,NA,"omnivore","C-vertebrates"
"93","Leucophaeus_pipixcan",280,9.416666667,"omnivore","C-vertebrates"
