"","Binomial","Wild","elton_BodyMass.Value_g","Trophic_Level","pantheria_AdultBodyMass_g","pantheria_TrophicLevel","pantheria_GestationLen_d","pantheria_MaxLongevity_m","amniota_adult_body_mass_g","amniota_gestation_d","amniota_maximum_longevity_y","diet2_TrophicLevel"
"1","Antilocapra_americana","Wild",46082.92,"Herbivores",47450.01,1,247.99,144,45375,247.44468,15.5,"Herbivore"
"2","Bos_bison","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Oreamnos_americanus","Wild",72500.33,"Herbivores",72105.4,1,181.24,230.04,77227.7,182.62,20.8,"Herbivore"
"4","Ovibos_moschatus","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Ovis_canadensis","Wild",74644.88,"Herbivores",74644.87,1,177.49,288,69125,180,24,"Herbivore"
"6","Ovis_dalli","Wild",55650.62,"Herbivores",70194.13,1,172.49,192,70194.13,175.245,24,"Herbivore"
"7","Alces_americanus","Wild",541460.44,"Herbivores",541460.44,1,245,300,368500,241.978125,27,"Herbivore"
"8","Cervus_canadensis","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Odocoileus_hemionus","Wild",54212.57,"Herbivores",84560.57,1,203.49,264,57000,207,22,"Herbivore"
"10","Odocoileus_virginianus","Wild",55508.56,"Herbivores",75901.25,1,201.39,276,65320,201.39,23,"Herbivore"
"11","Rangifer_tarandus","Wild",86033.98,"Herbivores",109088.5,1,222.5,242.4,101250,222.5,21.7,"Herbivore"
"12","Canis_latrans","Wild",13406.33,"Carnivores",11989.1,3,61.74,262,11050,62.3938,21.83333333,"Carnivore"
"13","Canis_lupus","Wild",32183.33,"Carnivores",31756.51,3,63.5,354,29190.755,62.1969,29.5,"Carnivore"
"14","Urocyon_cinereoargenteus","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Vulpes_lagopus","Wild",3584.37,"Carnivores",3584.37,3,52.99,180,3600,52.495,16.3,"Carnivore"
"16","Vulpes_velox","Wild",2197.51,"Carnivores",2088,3,53.7,240,2088,53.7,20,"Carnivore"
"17","Vulpes_vulpes","Wild",5476.17,"Omnivores",4820.36,3,52.5,180,4580.3,52.3525,21.3,"Omnivore"
"18","Lynx_canadensis","Wild",9373.25,"Carnivores",9682.82,3,62.5,321,9682.82,63,26.8,"Carnivore"
"19","Lynx_rufus","Wild",8904.1,"Carnivores",6374.47,3,59.99,388,9400,66,32.33333333,"Carnivore"
"20","Puma_concolor","Wild",51600.04,"Carnivores",53954.05,3,92.3,240,48000,92.3,23.8,"Carnivore"
"21","Mephitis_mephitis","Wild",2085.02,"Omnivores",2399.99,2,63.29,155,2949.995,63,13.9,"Omnivore"
"22","Spilogale_gracilis","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Enhydra_lutris","Wild",23500,"Carnivores",27410.93,2,238,360,943.25,216.0956,30,"Carnivore"
"24","Gulo_gulo","Wild",17012.56,"Omnivores",12792.49,3,161.73,216,12792.49,51.4381075,19.5,"Omnivore"
"25","Lontra_canadensis","Wild",8087.42,"Carnivores",8087.42,3,58.4,300,8087.42,61.17636,27,"Carnivore"
"26","Martes_americana","Wild",1250,"Omnivores",873.69,3,27.63,228,892,28,19,"Omnivore"
"27","Martes_caurina","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Mustela_erminea","Wild",119.38,"Carnivores",284.5,3,66.35,85.23,110.33,43.26174,12.5,"Carnivore"
"29","Mustela_frenata","Wild",147,"Carnivores",190.03,3,24.5,85.23,170.315,24.95752,8.8,"Carnivore"
"30","Mustela_nivalis","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Pekania_pennanti","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Taxidea_taxus","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Vison_vison","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Odobenus_rosmarus","Wild",825000,"Carnivores",1042996.25,2,357.39,480,846498.125,353.702,40,NA
"35","Callorhinus_ursinus","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Eumetopias_jubatus","Wild",310000,"Carnivores",382466.74,2,342.1,360,382466.74,308.05,32.8,NA
"37","Zalophus_californianus","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Cystophora_cristata","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Erignathus_barbatus","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Halichoerus_grypus","Wild",157667,"Carnivores",197570.01,3,349.79,560.07,197570.01,291.225,46.6725,NA
"41","Mirounga_angustirostris","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Pagophilus_groenlandicus","Wild",132250,"Carnivores",132250,2,242.9,504,141125,242.9,42,NA
"43","Phoca_vitulina","Wild",1e+05,"Carnivores",87316.66,3,288.95,480,94283.33,253.5703,47.6,NA
"44","Pusa_hispida","Wild",70963.6,"Carnivores",70963.6,2,270,552,88070,251,46,NA
"45","Procyon_lotor","Wild",5524.97,"Omnivores",6373.72,2,65,252,5075,63.91434,21,"Omnivore"
"46","Ursus_americanus","Wild",99949.36,"Omnivores",110500,1,213.95,384,132405,91.008125,34,"Omnivore"
"47","Ursus_arctos","Wild",180520.42,"Omnivores",196287.5,2,227.56,600,240500,103,50,"Omnivore"
"48","Ursus_maritimus","Wild",388750.36,"Carnivores",371703.81,2,64.66,458.4,371703.81,147.4159375,45,"Omnivore"
"49","Balaena_mysticetus","Wild",1e+08,"Carnivores",79691178.99,3,379.9,480,8e+07,379.9,211,NA
"50","Eubalaena_glacialis","Wild",2.3e+07,"Carnivores",22999999.91,3,345.96,NA,2.3e+07,347.98,67,NA
"51","Eubalaena_japonica","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Balaenoptera_acutorostrata","Wild",1e+07,"Carnivores",5587093.59,3,304.16,600,7500000,306.6127,50,NA
"53","Balaenoptera_borealis","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Balaenoptera_musculus","Wild",1.9e+08,"Carnivores",154321304.5,3,326.97,1320,1.49e+08,326.97,110,NA
"55","Balaenoptera_physalus","Wild",7e+07,"Carnivores",47506008.23,3,338.36,1392,38800000,342,116,NA
"56","Megaptera_novaeangliae","Wild",3e+07,"Carnivores",30000000.01,3,349.79,1140,3e+07,348.83674,95,NA
"57","Delphinus_delphis","Wild",80000,"Carnivores",79271.69,NA,296.89,240,77818.345,296.89,29.025,NA
"58","Globicephala_macrorhynchus","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Globicephala_melas","Wild",8e+05,"Carnivores",8e+05,3,479.06,540,1060000,453.4514,60,NA
"60","Grampus_griseus","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Lagenorhynchus_acutus","Wild",182000,"Carnivores",186517.55,3,319.37,324,186517.55,319.37,27,NA
"62","Lagenorhynchus_albirostris","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Lagenorhynchus_obliquidens","Wild",120000,"Carnivores",109694.46,3,319.01,300,103000,319.01,46,NA
"64","Lissodelphis_borealis","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Orcinus_orca","Wild",4300000,"Carnivores",5628758.66,3,456.25,1200,4300000,454.72102,100,NA
"66","Tursiops_truncatus","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Eschrichtius_robustus","Wild",28500000,"Carnivores",27324024.19,2,379.9,924,27300000,379.9,77,NA
"68","Delphinapterus_leucas","Wild",1360000,"Carnivores",1381640.73,3,394.24,480,1380000,409.05984,40,NA
"69","Monodon_monoceros","Wild",9e+05,"Carnivores",938126.44,3,441.04,480,938126.44,450,50,NA
"70","Phocoena_phocoena","Wild",52500,"Carnivores",52730.93,3,333.28,180,52730.93,307.013125,20.4,NA
"71","Phocoenoides_dalli","Wild",102500,"Carnivores",106042.53,3,346.74,264,106042.53,346.74,22,NA
"72","Physeter_macrocephalus","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Berardius_bairdii","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Hyperoodon_ampullatus","Wild",5800000,"Carnivores",3393361.08,3,365,444,5350000,365,37,NA
"75","Mesoplodon_bidens","Wild",3400000,"Carnivores",3400000,NA,365,NA,2350000,365.232,NA,NA
"76","Mesoplodon_carlhubbsi","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
