"","Binomial","hwi","diet","mean_adult_body_mass_g","mean_max_longevity_y","mean_longevity_y","habitat"
"1","Aegolius_acadicus",29.78209542,"vertebrates",95.625,17.5,8.408333333,"forest"
"2","Anas_acuta",59.44288563,"plants",872.25,27.417,26.95,"wetlands"
"3","Anas_crecca",54.77737555,"plants",343.8,27.1,21,"lakes/ponds"
"4","Anas_platyrhynchos",50.77664373,"omnivore",1122,29.1,27.245833335,"lakes/ponds"
"5","Athene_cunicularia",28.3254318,"vertebrates",150.6,11,8.7,"grasslands"
"6","Aythya_americana",46.04050562,"plants",1056.25,22.6,21.4,"lakes/ponds"
"7","Aythya_valisineria",41.92579059,"plants",1218.666667,29.5,22.4,"lakes/ponds"
"8","Lagopus_lagopus",39.00870335,"plants",595,9,8.583166667,"other"
"9","Calidris_mauri",49.00309054,"invertebrates",26.71666667,9.2,9.1835,"shore"
"10","Aechmophorus_occidentalis",40.86705534,"vertebrates",1314,14,14,"wetlands"
"11","Bubo_scandiacus",41.06358333,"vertebrates",1954,28,14,NA
"12","Buteo_lagopus",41.83607961,"vertebrates",945.5,18.8,17.9,"grasslands"
"13","Sterna_dougallii",69.12086979,"vertebrates",112,25.7,23.83333333,"oceans"
"14","Calidris_ptilocnemis",49.82517118,"invertebrates",79.65,7.34,7.333333333,"shore"
"15","Fulmarus_glacialis",51.14210464,"vertebrates",785,51,38.95833333,"oceans"
"16","Asio_otus",44.93714137,"vertebrates",262.75,27.8,27.775,"forest"
"17","Calcarius_lapponicus",30.83074243,"omnivore",28,6,5,"other"
"18","Anser_albifrons",52.57116138,"plants",2387.5,47,25.25,"lakes/ponds"
"19","Branta_hutchinsii",44.57705691,"plants",3661.666667,42,25.85833333,"lakes/ponds"
"20","Arenaria_melanocephala",51.04326672,"invertebrates",118.9,NA,NA,"shore"
"21","Haematopus_bachmani",40.82713585,"invertebrates",717.5,NA,NA,NA
"22","Dendragapus_fuliginosus",39.85717226,"plants",1059,14,12.5,"forest"
"23","Tringa_incana",55.25403638,"invertebrates",111.25,NA,NA,"shore"
"24","Leucosticte_tephrocotis",36.85577617,"omnivore",32.6,24,6.591666667,"other"
"25","Anthus_rubescens",28.37522504,"invertebrates",21.18333333,8.916666667,5.1,"other"
"26","Falco_peregrinus",55.42239926,"vertebrates",827.25,25,17.33666667,"shore"
"27","Zonotrichia_atricapilla",22.87820513,"omnivore",31.625,10.5,10.5,"other"
"28","Calcarius_pictus",28.11385284,"omnivore",26.4,5,5,"other"
"29","Zonotrichia_leucophrys",23.32851331,"invertebrates",27.96,13.34,13.3,"other"
"30","Zonotrichia_albicollis",19.75824595,"omnivore",25.35,14.91666667,9.7,"forest"
"31","Tringa_melanoleuca",50.19438966,"invertebrates",170,NA,NA,"shore+forest"
"32","Thryothorus_ludovicianus",11.40086673,"invertebrates",19.56666667,9.2,6.1,NA
"33","Sialia_mexicana",37.23909626,"invertebrates",27.05,8.666666667,5.2,"forest"
"34","Rissa_tridactyla",60.57864583,"omnivore",407.75,28.5,23.08333333,"oceans"
"35","Podiceps_grisegena",41.20274645,"omnivore",946.5,11,4.8,"wetlands"
