"","Binomial","hwi","diet","mean_adult_body_mass_g","mean_max_longevity_y","mean_longevity_y","habitat"
"1","Aix_sponsa",49.40426036,"seeds",657.5,22.5,22.5,"lakes/ponds"
"2","Anas_acuta",59.44288563,"plants",872.25,27.417,26.95,"wetlands"
"3","Anas_americana",53.71051611,"plants",786,21.33333333,21.3,"lakes/ponds"
"4","Anas_clypeata",57.97357509,"invertebrates",613,22.34,20.4,"wetlands"
"5","Anas_crecca",54.77737555,"plants",343.8,27.1,21,"lakes/ponds"
"6","Anas_cyanoptera",51.06088909,"plants",383,12.917,12.9,"wetlands"
"7","Anas_discors",53.84349026,"plants",398.5,23.25,22.3,"wetlands"
"8","Anas_penelope",58.54141621,"plants",757,35.16666667,18.25,"lakes/ponds"
"9","Anas_platyrhynchos",50.77664373,"omnivore",1122,29.1,27.245833335,"lakes/ponds"
"10","Anas_rubripes",51.36797724,"omnivore",1153.666667,29.1,26.41666667,"lakes/ponds"
"11","Anas_strepera",54.78745848,"plants",850,28,20.9,"wetlands"
"12","Anser_albifrons",52.57116138,"plants",2387.5,47,25.25,"lakes/ponds"
"13","Aythya_affinis",50.98702706,"invertebrates",788.5,18.8,18.31666667,"lakes/ponds"
"14","Aythya_americana",46.04050562,"plants",1056.25,22.6,21.4,"lakes/ponds"
"15","Aythya_collaris",48.20563347,"plants",730,20.41666667,20.4,"lakes/ponds"
"16","Aythya_fuligula",48.43050097,"invertebrates",701.5,45.25,22,NA
"17","Aythya_marila",45.89309774,"invertebrates",959,22.1,19.375,"lakes/ponds"
"18","Aythya_valisineria",41.92579059,"plants",1218.666667,29.5,22.4,"lakes/ponds"
"19","Branta_bernicla",52.19509015,"plants",1347.25,28.83333333,23.8,"wetlands"
"20","Branta_canadensis",49.37002149,"plants",3984.5,42,27.41666667,"wetlands"
"21","Branta_hutchinsii",44.57705691,"plants",3661.666667,42,25.85833333,"lakes/ponds"
"22","Bucephala_albeola",47.40970969,"invertebrates",400,18.7,14.9,"lakes/ponds"
"23","Bucephala_clangula",52.23046928,"invertebrates",895.93,18.41666667,16.91666667,"lakes/ponds"
"24","Bucephala_islandica",47.20667639,"invertebrates",978.575,18,15.33333333,"lakes/ponds"
"25","Chen_caerulescens",52.48787235,"plants",2630.75,27.5,26.59166667,"lakes/ponds"
"26","Chen_rossii",54.40703136,"plants",1597.5,22.5,21.5,"lakes/ponds"
"27","Clangula_hyemalis",50.79857306,"invertebrates",814,22.7,15.6,"lakes/ponds"
"28","Cygnus_buccinator",42.68620422,"plants",10300,32.5,26.5,"lakes/ponds"
"29","Cygnus_columbianus",45.28694034,"plants",6350,24.1,22.29166667,"lakes/ponds"
