"","binomial","hwi","diet","mean_adult_body_mass_g","mean_max_longevity_y","mean_longevity_y"
"1","Tinamus_tao",14.19806859,"fruit",1636,NA,NA
"2","Tinamus_solitarius",13.63738999,"seeds",1337.25,15,15
"3","Tinamus_osgoodi",13.81304348,"fruit",1285,NA,NA
"4","Tinamus_major",20.49552617,"omnivore",1013.5,NA,NA
"5","Tinamus_guttatus",26.40499811,"fruit",688,NA,NA
"6","Nothocercus_bonapartei",14.16336376,"fruit",763,NA,NA
"7","Nothocercus_julius",16.7234717,"omnivore",NA,NA,NA
"8","Nothocercus_nigrocapillus",15.66157753,"seeds",NA,NA,NA
"9","Crypturellus_berlepschi",23.31738138,"omnivore",521,NA,NA
"10","Crypturellus_cinereus",15.68447261,"fruit",505.5,NA,NA
"11","Crypturellus_soui",26.7569554,"omnivore",211.25,NA,NA
"12","Crypturellus_ptaritepui",7.360294118,"omnivore",NA,NA,NA
"13","Crypturellus_obsoletus",22.46075908,"omnivore",425,NA,NA
"14","Crypturellus_undulatus",18.78464497,"fruit",515.5,NA,NA
"15","Crypturellus_transfasciatus",24.07312521,"omnivore",283,NA,NA
"16","Crypturellus_strigulosus",16.36227725,"omnivore",428,NA,NA
"17","Crypturellus_duidae",27.92068287,"omnivore",427.75,NA,NA
"18","Crypturellus_erythropus",30.14233958,"omnivore",485,NA,NA
"19","Crypturellus_noctivagus",24.05914378,"omnivore",562,NA,NA
"20","Crypturellus_atrocapillus",22.77924544,"omnivore",452.75,NA,NA
"21","Crypturellus_cinnamomeus",22.51412861,"omnivore",423.25,NA,NA
"22","Crypturellus_boucardi",25.16583352,"omnivore",443,NA,NA
"23","Crypturellus_kerriae",21.77298981,"omnivore",NA,NA,NA
"24","Crypturellus_variegatus",32.55082023,"fruit",383.25,NA,NA
"25","Crypturellus_brevirostris",18.85349121,"omnivore",NA,NA,NA
"26","Crypturellus_bartletti",26.96552277,"omnivore",241,NA,NA
"27","Crypturellus_parvirostris",24.69580816,"seeds",196.5,NA,NA
"28","Crypturellus_casiquiare",23.34369257,"omnivore",NA,NA,NA
"29","Crypturellus_tataupa",21.08513537,"invertebrates",218.5,NA,NA
"30","Rhynchotus_rufescens",19.95512514,"omnivore",810,NA,NA
"31","Rhynchotus_maculicollis",24.4408817,"omnivore",810,NA,NA
"32","Nothoprocta_taczanowskii",23.82719957,"omnivore",NA,NA,NA
"33","Nothoprocta_ornata",26.12276858,"plants",623,NA,NA
"34","Nothoprocta_perdicaria",26.86939481,"seeds",458,NA,NA
"35","Nothoprocta_cinerascens",27.51142466,"invertebrates",526,NA,NA
"36","Nothoprocta_pentlandii",22.63301117,"plants",304.75,NA,NA
"37","Nothoprocta_curvirostris",30.53920588,"omnivore",376,NA,NA
"38","Nothura_boraquira",27.18612401,"omnivore",285.5,NA,NA
"39","Nothura_minor",25.59463616,"omnivore",166,NA,NA
"40","Nothura_darwinii",34.43469846,"invertebrates",245.625,5,5
"41","Nothura_maculosa",27.33551998,"omnivore",250.125,4,4
"42","Nothura_chacoensis",22.06236231,"omnivore",250.125,4,4
"43","Taoniscus_nanus",21.3910473,"omnivore",43,NA,NA
"44","Eudromia_elegans",34.34742757,"omnivore",678,NA,NA
"45","Eudromia_formosa",21.72562199,"omnivore",NA,NA,NA
"46","Tinamotis_pentlandii",33.07942717,"plants",650,NA,NA
"47","Tinamotis_ingoufi",35.98062748,"plants",NA,NA,NA
"48","Struthio_camelus",0.017409675,"plants",109250,50,50
"49","Struthio_molybdophanes",0.019858404,NA,109250,50,50
"50","Rhea_americana",0.016588323,"omnivore",23000,50,50
"51","Rhea_pennata",0.016167494,"omnivore",21500,NA,NA
"52","Casuarius_casuarius",0.033337907,"fruit",44000,12,12
"53","Casuarius_bennetti",0.047738228,"fruit",30500,26,26
"54","Casuarius_unappendiculatus",0.038016176,"fruit",47300,22,22
"55","Dromaius_novaehollandiae",0.081413713,"omnivore",36200,16.6,16.6
"56","Apteryx_australis",0.1,"invertebrates",2600,40,35
"57","Apteryx_mantelli",0.1,"invertebrates",2631,40,35
"58","Apteryx_rowi",0.1,NA,2600,40,35
"59","Apteryx_owenii",0.1,"invertebrates",1200,83,27
"60","Apteryx_haastii",0.1,"invertebrates",2409,NA,NA
"61","Alectura_lathami",21.46232524,"omnivore",2330,12.5,12.5
"62","Aepypodius_arfakianus",16.90595315,"fruit",1487.75,NA,NA
"63","Aepypodius_bruijnii",8.908450704,"fruit",NA,NA,NA
"64","Talegalla_cuvieri",27.08029013,"invertebrates",1785,NA,NA
"65","Talegalla_fuscirostris",25.18367679,"invertebrates",1352,NA,NA
"66","Talegalla_jobiensis",24.77024594,"invertebrates",1608,NA,NA
"67","Leipoa_ocellata",30.94309038,"seeds",1867.5,7.5,7.5
"68","Macrocephalon_maleo",22.05617508,"omnivore",1594,23,23
"69","Eulipoa_wallacei",33.52739634,"invertebrates",507.5,NA,NA
"70","Megapodius_pritchardii",18.81364412,"invertebrates",374.5,NA,NA
"71","Megapodius_laperouse",31.96790192,"invertebrates",308,NA,NA
"72","Megapodius_nicobariensis",20.12304361,"invertebrates",926,NA,NA
"73","Megapodius_cumingii",26.13674046,"invertebrates",841,NA,NA
"74","Megapodius_bernsteinii",26,"omnivore",926,NA,NA
"75","Megapodius_tenimberensis",21.54150198,"plants",1044,NA,NA
"76","Megapodius_freycinet",24.66283654,"invertebrates",648.5,NA,NA
"77","Megapodius_forstenii",25.53585767,NA,752,NA,NA
"78","Megapodius_geelvinkianus",18.55604554,"invertebrates",643.5,NA,NA
"79","Megapodius_eremita",27.96968446,"omnivore",711,15,10
"80","Megapodius_layardi",25.27901602,"invertebrates",NA,NA,NA
"81","Megapodius_decollatus",14.52866744,"invertebrates",715,5,5
"82","Megapodius_reinwardt",22.84065888,"plants",1044,NA,NA
"83","Ortalis_vetula",11.43402018,"fruit",560,8.833333333,4.5
"84","Ortalis_cinereiceps",13.33004674,"fruit",512.5,NA,NA
"85","Ortalis_garrula",11.94353575,"fruit",612.25,NA,NA
"86","Ortalis_ruficauda",9.873723288,"fruit",608,NA,NA
"87","Ortalis_erythroptera",12.25219658,"omnivore",632.25,NA,NA
"88","Ortalis_wagleri",17.85197681,"fruit",834,NA,NA
"89","Ortalis_poliocephala",9.835392347,"omnivore",561.5,8.833333333,4.5
"90","Ortalis_canicollis",13.14876499,"omnivore",539,NA,NA
"91","Ortalis_leucogastra",17.19149178,"fruit",560,8.833333333,4.5
"92","Ortalis_guttata",15.00279256,"fruit",550,NA,NA
"93","Ortalis_araucuan",11.64757957,NA,NA,NA,NA
"94","Ortalis_squamata",10.01645347,NA,NA,NA,NA
"95","Ortalis_columbiana",11.93080782,NA,NA,NA,NA
"96","Ortalis_motmot",14.84231273,"fruit",476.25,NA,NA
"97","Ortalis_ruficeps",16.01638912,NA,NA,NA,NA
"98","Ortalis_superciliaris",12.28942928,"fruit",NA,NA,NA
"99","Penelope_argyrotis",12.65632801,"fruit",802.75,NA,NA
"100","Penelope_barbata",12.23723181,"fruit",802.75,NA,NA
"101","Penelope_ortoni",12.19379252,"fruit",NA,NA,NA
"102","Penelope_montagnii",10.20607674,"fruit",678,NA,NA
"103","Penelope_marail",10.66501014,"fruit",885,NA,NA
"104","Penelope_superciliaris",13.36030331,"fruit",895,NA,NA
"105","Penelope_dabbenei",12.26300796,"fruit",1230,NA,NA
"106","Penelope_purpurascens",12.02755229,"fruit",2060,NA,NA
"107","Penelope_perspicax",12.21590909,"fruit",2060,NA,NA
"108","Penelope_albipennis",16.44685018,"fruit",1750,NA,NA
"109","Penelope_jacquacu",9.835742428,"fruit",1579,NA,NA
"110","Penelope_obscura",4.863629775,"fruit",1760,NA,NA
"111","Penelope_pileata",9.643403016,"fruit",1420,NA,NA
"112","Penelope_ochrogaster",10.03791669,"fruit",NA,NA,NA
"113","Penelope_jacucaca",16.26389397,"fruit",1490,NA,NA
"114","Pipile_pipile",18.67389071,"fruit",NA,NA,NA
"115","Pipile_cumanensis",19.30183402,"fruit",NA,NA,NA
"116","Pipile_cujubi",15.57129087,"fruit",NA,NA,NA
"117","Pipile_jacutinga",19.57223822,"fruit",NA,NA,NA
"118","Aburria_aburri",14.97944068,"fruit",1328.75,NA,NA
"119","Chamaepetes_unicolor",14.96027047,"fruit",1135,NA,NA
"120","Chamaepetes_goudotii",9.270292631,"fruit",729,NA,NA
"121","Penelopina_nigra",5.744873772,"fruit",890,NA,NA
"122","Oreophasis_derbianus",9.00939688,"fruit",2076,NA,NA
"123","Nothocrax_urumutum",14.50698936,"fruit",1475,NA,NA
"124","Mitu_tomentosum",8.523539582,"fruit",2200,NA,NA
"125","Mitu_salvini",8.296451389,"fruit",3100,NA,NA
"126","Mitu_tuberosum",10.19148292,"fruit",3180,23,23
"127","Mitu_mitu",6.850840685,"fruit",2960,NA,NA
"128","Pauxi_pauxi",7.709751851,"omnivore",3112.5,NA,NA
"129","Pauxi_unicornis",7.9408867,"seeds",3745,NA,NA
"130","Crax_rubra",9.333437375,"fruit",4133,24,24
"131","Crax_alberti",10.7371522,"fruit",2800,NA,NA
"132","Crax_daubentoni",6.376181962,"fruit",2644,NA,NA
"133","Crax_alector",5.265603499,"fruit",2912.5,NA,NA
"134","Crax_globulosa",10.73205753,"fruit",2500,20,20
"135","Crax_fasciolata",8.92362083,"fruit",2540,NA,NA
"136","Crax_blumenbachii",9.725234098,"fruit",3500,NA,NA
"137","Agelastes_meleagrides",20.69923827,"invertebrates",815,NA,NA
"138","Agelastes_niger",17.97641717,"invertebrates",700,NA,NA
"139","Numida_meleagris",21.1122201,"omnivore",1375,NA,NA
"140","Guttera_plumifera",16.55902854,"invertebrates",875,NA,NA
"141","Guttera_pucherani",53.88878281,"omnivore",1149,NA,NA
"142","Acryllium_vulturinum",18.56743204,"omnivore",1333.875,NA,NA
"143","Dendrortyx_barbatus",17.02597963,"fruit",445.5,NA,NA
"144","Dendrortyx_macroura",12.52867546,"omnivore",422.75,NA,NA
"145","Dendrortyx_leucophrys",21.28474189,"omnivore",397,NA,NA
"146","Oreortyx_pictus",31.61412309,"omnivore",NA,NA,NA
"147","Callipepla_squamata",24.23587391,"omnivore",191,NA,NA
"148","Callipepla_douglasii",23.01413057,"omnivore",178,NA,NA
"149","Callipepla_californica",26.23426737,"omnivore",171.5,9.6,6.991666667
"150","Callipepla_gambelii",28.33686933,"plants",169.25,7.416666667,7.4
"151","Philortyx_fasciatus",23.01613559,"seeds",130.25,NA,NA
"152","Colinus_virginianus",27.66923741,"seeds",173.3333333,6.416666667,6.4
"153","Colinus_nigrogularis",24.68641397,"seeds",136.5,NA,NA
"154","Colinus_leucopogon",23.87352234,"seeds",138,NA,NA
"155","Colinus_cristatus",25.04126635,"seeds",136.5,NA,NA
"156","Odontophorus_gujanensis",13.30067667,"invertebrates",331,NA,NA
"157","Odontophorus_capueira",10.45892372,"fruit",426.5,NA,NA
"158","Odontophorus_melanotis",24.06810451,"omnivore",337.5,NA,NA
"159","Odontophorus_erythrops",27.05553892,"omnivore",337.5,NA,NA
"160","Odontophorus_atrifrons",9.928627948,"omnivore",304.5,NA,NA
"161","Odontophorus_hyperythrus",17.30942627,"seeds",351,NA,NA
"162","Odontophorus_melanonotus",14.25464573,"omnivore",322,NA,NA
"163","Odontophorus_speciosus",20.15681347,"omnivore",324.5,NA,NA
"164","Odontophorus_dialeucos",11.34920635,"omnivore",262,NA,NA
"165","Odontophorus_strophium",16.2102933,"omnivore",302,NA,NA
"166","Odontophorus_columbianus",13.46191282,"omnivore",340,NA,NA
"167","Odontophorus_leucolaemus",18.71175147,"plants",260.5,NA,NA
"168","Odontophorus_balliviani",16.90161569,"omnivore",324,NA,NA
"169","Odontophorus_stellatus",18.78149002,"omnivore",358,NA,NA
"170","Odontophorus_guttatus",23.93615307,"plants",304,NA,NA
"171","Dactylortyx_thoracicus",29.86288493,"omnivore",211.75,NA,NA
"172","Cyrtonyx_montezumae",25.46000502,"plants",185.55,NA,NA
"173","Cyrtonyx_ocellatus",28.93518396,"plants",218,NA,NA
"174","Rhynchortyx_cinctus",36.26849526,"seeds",157.5,NA,NA
"175","Meleagris_gallopavo",25.98130925,"omnivore",5811,13,12.75
"176","Meleagris_ocellata",26.57081413,"omnivore",5525,NA,NA
"177","Bonasa_umbellus",38.30210753,"plants",532,11,8.5
"178","Tetrastes_bonasia",33.31557,"plants",406.75,7.25,7.25
"179","Tetrastes_sewerzowi",34.19675338,"plants",267.5,NA,NA
"180","Falcipennis_falcipennis",29.7939625,"plants",687.5,NA,NA
"181","Falcipennis_canadensis",34.84891707,"plants",456,13,13
"182","Tetrao_urogallus",34.59716661,"plants",2942.5,18,18
"183","Tetrao_parvirostris",37.8987313,"plants",NA,NA,NA
"184","Lyrurus_tetrix",36.72688937,"plants",1084.75,12.25,12.225
"185","Lyrurus_mlokosiewiczi",28.18221235,"plants",815.5,NA,NA
"186","Centrocercus_urophasianus",38.69109716,"plants",1930,7,7
"187","Centrocercus_minimus",38.56140351,"plants",1650,NA,NA
"188","Dendragapus_obscurus",39.4410669,"plants",1059,14,12.5
"189","Dendragapus_fuliginosus",39.85717226,"plants",1059,14,12.5
"190","Tympanuchus_phasianellus",39.61627015,"plants",851,7.5,6.316666667
"191","Tympanuchus_pallidicinctus",39.02439024,"invertebrates",730,13.5,13.5
"192","Tympanuchus_cupido",42.68803845,"seeds",885.5,13.5,5
"193","Lagopus_leucura",40.42034183,"plants",351,15,15
"194","Lagopus_muta",46.14753282,"plants",521,6.083333333,6.083333333
"195","Lagopus_lagopus",39.00870335,"plants",595,9,8.583166667
"196","Lerwa_lerwa",36.5918147,"plants",581.5,NA,NA
"197","Tetraophasis_obscurus",38.03358159,"plants",938,NA,NA
"198","Tetraophasis_szechenyii",23.24593065,"plants",1260,NA,NA
"199","Tetraogallus_caucasicus",40.50743557,"plants",1881.75,NA,NA
"200","Tetraogallus_caspius",39.66759995,"plants",2514.5,NA,NA
"201","Tetraogallus_himalayensis",39.4474171,"plants",2427.75,NA,NA
"202","Tetraogallus_tibetanus",43.23933446,"plants",1625,NA,NA
"203","Tetraogallus_altaicus",41.70771117,"plants",3000,NA,NA
"204","Alectoris_graeca",36.87938408,"plants",597.5,NA,NA
"205","Alectoris_chukar",28.94734505,"seeds",535.5,6.2,6.2
"206","Alectoris_magna",26.82851998,"plants",577.5,NA,NA
"207","Alectoris_philbyi",27.39116215,"plants",441,NA,NA
"208","Alectoris_barbara",28.51964073,"plants",418.5,NA,NA
"209","Alectoris_rufa",24.71804287,"plants",516,6.25,6.225
"210","Alectoris_melanocephala",25.07338958,"plants",724,NA,NA
"211","Ammoperdix_griseogularis",33.94093099,"plants",194.35,NA,NA
"212","Ammoperdix_heyi",32.17303536,"omnivore",185.5,NA,NA
"213","Ptilopachus_petrosus",21.27159197,"omnivore",191.25,NA,NA
"214","Ptilopachus_nahani",22.6119403,"omnivore",294.25,NA,NA
"215","Francolinus_francolinus",24.76331799,"plants",453,7,7
"216","Francolinus_pictus",25.58853262,"plants",291,NA,NA
"217","Francolinus_pintadeanus",24.94680667,"omnivore",354.25,NA,NA
"218","Francolinus_pondicerianus",25.94474567,"omnivore",274,8,8
"219","Francolinus_gularis",20.54253835,"omnivore",510,NA,NA
"220","Peliperdix_lathami",26.49350085,"invertebrates",NA,NA,NA
"221","Peliperdix_coqui",26.26968196,"omnivore",NA,NA,NA
"222","Peliperdix_albogularis",26.72272979,"invertebrates",NA,NA,NA
"223","Peliperdix_schlegelii",22.7718587,"omnivore",NA,NA,NA
"224","Scleroptila_streptophora",27.15648474,"invertebrates",NA,NA,NA
"225","Scleroptila_africana",31.45708234,"plants",NA,NA,NA
"226","Scleroptila_levaillantii",26.77179847,"plants",NA,NA,NA
"227","Scleroptila_finschi",27.70833333,"invertebrates",NA,NA,NA
"228","Scleroptila_shelleyi",29.45619352,"plants",NA,NA,NA
"229","Scleroptila_psilolaema",27.53629111,"plants",NA,NA,NA
"230","Scleroptila_levaillantoides",36.22864695,"omnivore",NA,NA,NA
"231","Dendroperdix_sephaena",24.59661791,"invertebrates",354.75,NA,NA
"232","Pternistis_squamatus",14.5224816,"plants",NA,NA,NA
"233","Pternistis_ahantensis",17.13278785,"plants",NA,NA,NA
"234","Pternistis_griseostriatus",16.40195476,"omnivore",NA,NA,NA
"235","Pternistis_hildebrandti",17.27731411,"plants",NA,NA,NA
"236","Pternistis_bicalcaratus",24.31441051,"omnivore",NA,NA,NA
"237","Pternistis_icterorhynchus",21.8734749,"omnivore",NA,NA,NA
"238","Pternistis_clappertoni",25.09128411,"omnivore",NA,NA,NA
"239","Pternistis_harwoodi",10.85714286,"omnivore",NA,NA,NA
"240","Pternistis_swierstrai",19.55307263,"omnivore",NA,NA,NA
"241","Pternistis_camerunensis",11.17366954,"omnivore",NA,NA,NA
"242","Pternistis_nobilis",29.17857143,"seeds",NA,NA,NA
"243","Pternistis_jacksoni",17.95275609,"omnivore",NA,NA,NA
