Binomial,RL_ID,System,Class.x,n_habitats,n_hl_habitats
Acanthis_flammea,22725044,Terrestrial,Aves,5,3
Accipiter_cooperii,22695656,Terrestrial,Aves,7,3
Accipiter_gentilis,22695683,Terrestrial,Aves,4,3
Accipiter_striatus,22734130,Terrestrial,Aves,10,4
Actitis_macularius,22693277,Freshwater,Aves,10,4
Aechmophorus_occidentalis,22696631,Freshwater,Aves,7,4
Aegolius_acadicus,22689366,Terrestrial,Aves,5,3
Aeronautes_saxatalis,22686733,Terrestrial,Aves,5,5
Agelaius_phoeniceus,22724191,Terrestrial,Aves,3,2
Aix_sponsa,22680104,Freshwater,Aves,4,2
Alca_torda,22694852,Marine,Aves,12,4
Amblyraja_radiata,161542,Marine,Elasmobranchii,5,2
Ambystoma_jeffersonianum,59059,Freshwater,Amphibia,3,2
Ambystoma_macrodactylum,59063,Freshwater,Amphibia,8,4
Ambystoma_maculatum,59064,Freshwater,Amphibia,3,2
Ambystoma_mavortium,199970,Freshwater,Amphibia,7,4
Ammodramus_savannarum,22721144,Terrestrial,Aves,5,3
Ammospiza_leconteii,22721135,Terrestrial,Aves,2,2
Ammospiza_nelsoni,22728393,Freshwater,Aves,3,2
Anas_acuta,22680301,Freshwater,Aves,7,3
Anas_platyrhynchos,22680186,Freshwater,Aves,12,2
Anas_rubripes,22680174,Freshwater,Aves,14,4
Anaxyrus_americanus,54570,Freshwater,Amphibia,7,4
Anaxyrus_americanus,54570,Terrestrial,Amphibia,7,4
Anaxyrus_boreas,3179,Freshwater,Amphibia,11,4
Anaxyrus_fowleri,54640,Freshwater,Amphibia,6,2
Anaxyrus_hemiophrys,54661,Freshwater,Amphibia,7,3
Anguilla_rostrata,191108,Freshwater,Actinopterygii,1,1
Anguilla_rostrata,191108,Marine,Actinopterygii,1,1
Anser_albifrons,22679881,Terrestrial,Aves,7,5
Anthus_rubescens,22718575,Terrestrial,Aves,13,5
Anthus_spragueii,22718591,Terrestrial,Aves,3,2
Antigone_canadensis,22692078,Freshwater,Aves,2,2
Antilocapra_americana,1677,Terrestrial,Mammalia,3,3
Antrostomus_vociferus,22736393,Terrestrial,Aves,2,1
Aquila_chrysaetos,22696060,Terrestrial,Aves,9,5
Archilochus_alexandri,22688196,Terrestrial,Aves,7,3
Archilochus_colubris,22688193,Terrestrial,Aves,9,3
Ardea_alba,22697043,Freshwater,Aves,5,4
Ardenna_gravis,22698201,Marine,Aves,11,4
Ardenna_grisea,22698209,Marine,Aves,10,3
Arenaria_interpres,22693336,Marine,Aves,19,4
Arenaria_interpres,22693336,Terrestrial,Aves,19,4
Arenaria_melanocephala,22693341,Marine,Aves,3,2
Ascaphus_truei,54414,Freshwater,Amphibia,2,2
Asio_flammeus,22689531,Terrestrial,Aves,8,3
Asio_otus,22689507,Terrestrial,Aves,14,5
Athene_cunicularia,22689353,Terrestrial,Aves,8,5
Aythya_affinis,22680402,Freshwater,Aves,15,4
Aythya_americana,22680367,Freshwater,Aves,6,3
Aythya_collaris,22680370,Freshwater,Aves,2,1
Aythya_marila,22680398,Freshwater,Aves,11,3
Aythya_valisineria,22680364,Freshwater,Aves,10,4
Baeolophus_bicolor,22711983,Terrestrial,Aves,6,3
Bartramia_longicauda,22693203,Terrestrial,Aves,3,2
Bathyraja_spinicauda,161366,Marine,Elasmobranchii,5,2
Bombycilla_cedrorum,22708153,Terrestrial,Aves,5,3
Bombycilla_garrulus,22708146,Terrestrial,Aves,5,2
Bonasa_umbellus,22679500,Terrestrial,Aves,2,1
Botaurus_lentiginosus,22697340,Freshwater,Aves,1,1
Brachyramphus_marmoratus,22694870,Terrestrial,Aves,6,5
