Binomial,RL_ID,System,Class.x,n_threats,n_hl_threats
Acanthis_flammea,22725044,Terrestrial,Aves,1,1
Accipiter_gentilis,22695683,Terrestrial,Aves,8,4
Acipenser_brevirostrum,222,Freshwater,Actinopterygii,22,6
Acipenser_fulvescens,223,Freshwater,Actinopterygii,33,8
Acipenser_medirostris,233,Marine,Actinopterygii,19,7
Acipenser_oxyrinchus,245,Freshwater,Actinopterygii,26,7
Acipenser_transmontanus,234,Freshwater,Actinopterygii,12,5
Alca_torda,22694852,Marine,Aves,14,5
Alces_americanus,56003281,Terrestrial,Mammalia,9,4
Alces_americanus,56003281,Terrestrial,Mammals,9,4
Alosa_pseudoharengus,201948,Freshwater,Actinopterygii,3,1
Alosa_pseudoharengus,201948,Freshwater,Fish,3,1
Alosa_pseudoharengus,201948,Marine,Actinopterygii,3,1
Alosa_sapidissima,191206,Marine,Actinopterygii,12,3
Alosa_sapidissima,191206,Marine,Fish,12,3
Amblyraja_radiata,161542,Marine,Elasmobranchii,4,2
Amblyraja_radiata,161542,Marine,Fish,4,2
Ambystoma_gracile,59057,Freshwater,Amphibia,11,5
Ambystoma_gracile,59057,Freshwater,Herps,11,5
Ambystoma_jeffersonianum,59059,Freshwater,Amphibia,9,5
Ambystoma_macrodactylum,59063,Freshwater,Amphibia,2,1
Ambystoma_maculatum,59064,Freshwater,Amphibia,7,4
Ambystoma_mavortium,199970,Freshwater,Amphibia,9,4
Anaxyrus_boreas,3179,Freshwater,Amphibia,18,6
Anaxyrus_hemiophrys,54661,Freshwater,Amphibia,4,3
Anguilla_rostrata,191108,Freshwater,Actinopterygii,13,5
Anguilla_rostrata,191108,Freshwater,Fish,13,5
Anguilla_rostrata,191108,Marine,Actinopterygii,13,5
Anser_albifrons,22679881,Terrestrial,Aves,1,1
Anthus_rubescens,22718575,Terrestrial,Aves,1,1
Anthus_spragueii,22718591,Terrestrial,Aves,10,3
Antilocapra_americana,1677,Terrestrial,Mammalia,5,3
Antimora_microlepis,155287,Marine,Actinopterygii,2,1
Antimora_microlepis,155287,Marine,Fish,2,1
Antrostomus_vociferus,22736393,Terrestrial,Aves,9,5
Apristurus_brunneus,44209,Marine,Chondrichthyes,2,1
Apristurus_brunneus,44209,Marine,Fish,2,1
Aquila_chrysaetos,22696060,Terrestrial,Aves,11,7
Ardea_alba,22697043,Freshwater,Aves,1,1
Ardenna_gravis,22698201,Marine,Aves,2,1
Ardenna_grisea,22698209,Marine,Aves,8,3
Ardenna_grisea,22698209,Marine,Birds,8,3
Arenaria_interpres,22693336,Marine,Aves,5,2
Arenaria_interpres,22693336,Terrestrial,Aves,5,2
Arenaria_melanocephala,22693341,Marine,Aves,1,1
Ascaphus_truei,54414,Freshwater,Amphibia,5,3
Asio_flammeus,22689531,Terrestrial,Aves,18,8
Asio_otus,22689507,Terrestrial,Aves,10,6
Aythya_marila,22680398,Freshwater,Aves,10,4
Balaena_mysticetus,2467,Marine,Mammalia,12,6
Balaenoptera_acutorostrata,2474,Marine,Mammalia,4,1
Balaenoptera_musculus,2477,Marine,Mammalia,3,2
Balaenoptera_physalus,2478,Marine,Mammalia,5,2
Bathyraja_abyssicola,2636,Marine,Elasmobranchii,2,1
Bathyraja_aleutica,161661,Marine,Elasmobranchii,3,1
Bathyraja_aleutica,161661,Marine,Fish,3,1
Bathyraja_interrupta,161402,Marine,Elasmobranchii,2,1
Bathyraja_interrupta,161402,Marine,Fish,2,1
Bathyraja_minispinosa,161381,Marine,Elasmobranchii,5,1
Bathyraja_spinicauda,161366,Marine,Elasmobranchii,3,2
Bathyraja_trachura,161375,Marine,Elasmobranchii,2,1
Bathyraja_trachura,161375,Marine,Fish,2,1
Beringraja_binoculata,44183,Marine,Elasmobranchii,5,2
Beringraja_binoculata,44183,Marine,Fish,5,2
Bison_bison,2815,Terrestrial,Mammalia,17,6
Bison_bison,2815,Terrestrial,Mammals,17,6
Brachyramphus_marmoratus,22694870,Marine,Birds,10,5
Brachyramphus_marmoratus,22694870,Terrestrial,Aves,10,5
Branta_bernicla,22679946,Terrestrial,Aves,1,1
Brevoortia_tyrannus,190134,Marine,Actinopterygii,3,1
Bubo_scandiacus,22689055,Terrestrial,Aves,8,3
Bucephala_clangula,22680455,Freshwater,Aves,8,4
Bucephala_islandica,22680459,Freshwater,Aves,14,7
Buteo_lagopus,22695973,Terrestrial,Aves,8,4
Buteo_regalis,22695970,Terrestrial,Aves,9,4
Calcarius_lapponicus,22721033,Terrestrial,Aves,1,1
Calcarius_ornatus,22721040,Terrestrial,Aves,10,6
Calcarius_pictus,22721037,Terrestrial,Aves,1,1
Calidris_alba,22693369,Marine,Aves,1,1
Calidris_alba,22693369,Terrestrial,Aves,1,1
Calidris_alpina,22693427,Terrestrial,Aves,16,7
Calidris_bairdii,22693404,Terrestrial,Aves,1,1
Calidris_canutus,22693363,Marine,Aves,20,7
Calidris_canutus,22693363,Terrestrial,Aves,20,7
Calidris_fuscicollis,22693399,Terrestrial,Aves,1,1
Calidris_himantopus,22693437,Terrestrial,Aves,1,1
Calidris_maritima,22693420,Marine,Aves,1,1
Calidris_maritima,22693420,Terrestrial,Aves,1,1
Calidris_mauri,22693376,Marine,Aves,1,1
Calidris_melanotos,22693408,Terrestrial,Aves,1,1
Calidris_minutilla,22693396,Terrestrial,Aves,1,1
Calidris_ptilocnemis,22693424,Marine,Aves,1,1
Calidris_pusilla,22693373,Terrestrial,Aves,11,5
Calidris_virgata,22693356,Terrestrial,Aves,1,1
Canis_lupus,3746,Terrestrial,Mammalia,5,2
Canis_lupus,3746,Terrestrial,Mammals,5,2
