"ID","Binomial","Replicate","Class","Order","Family","Genus","Species","Subspecies","Common_name","Location","Latitude","Longitude","System","Units","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","FBname","SpeciesRefNo","LongevityWild","LongevityCaptive","Length","LTypeMaxM","LengthFemale","LTypeMaxF","CommonLength","LTypeComM","CommonLengthF","LTypeComF","DepthRangeShallow","DepthRangeDeep","DepthRangeRef","DepthRangeComShallow","DepthRangeComDeep","DepthComRef","SpecCode","Troph","seTroph","TrophObserved","Median_T","lcl_T","ucl_T","n_T"
10,"Albatrossia_pectoralis",1,"Fish","Gadiformes","Macrouridae","Albatrossia","pectoralis","NULL","Giant grenadier","West Coast Haida Gwaii",53.338146,-132.883849,"Marine","Biomass","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","364080.3087","29489.35282","364699.9346","NULL","168432.9408","NULL","321654.9175","NULL","NULL","NULL","679728.5292","NULL","NULL","NULL","NULL","Giant grenadier",1371,56,NA,210,"TL",NA,NA,"85",NA,NA,NA,"140",3500,50550,700,1100,56476,"8435",4.30000019073486,0.660000026226044,TRUE,NA,NA,NA,NA
84,"Alosa_pseudoharengus",0,"Fish","Clupeiformes","Clupeidae","Alosa","pseudoharengus","NULL","Gaspereux","Prince Edward Island National Park",46.416091,-63.074093,"Freshwater","CPUE","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1.349249909","NULL","1.173354314","0.480183741","2.458001768","0.047982087","0.031045279","0.005478051","0.092392609","0.009668375","0.048479087","0.001878699","NULL","NULL","NULL","Alewife",188,9,NA,40,"SL",NA,NA,"30","SL",NA,NA,"5",145,4639,56,110,5951,"1583",3.39000010490417,0.321999996900558,TRUE,2.70000004768372,NA,NA,2
108,"Alosa_sapidissima",0,"Fish","Clupeiformes","Clupeidae","Alosa","sapidissima","NULL","American Shad","Strait of Georgia",49.35,-123.87,"Marine","Biomass","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","24854.82857","NULL","NULL","3293.954545","NULL","NULL","NULL","NULL","NULL","American shad",188,13,NA,76,"TL","61.70000076293945","SL","50","SL",NA,NA,"0",250,6793,NA,NA,NA,"1584",3.48000001907349,0.319999992847443,TRUE,5.5,NA,NA,1
110,"Alosa_sapidissima",1,"Fish","Clupeiformes","Clupeidae","Alosa","sapidissima","NULL","American Shad","West Coast Vancouver Island",49.31,-126.78,"Marine","Biomass","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1397.493368","NULL","8267.280937","NULL","39450.34587","NULL","11613.77287","NULL","10788.92392","NULL","18760.09346","NULL","38346.29224","NULL","NULL","NULL","NULL","American shad",188,13,NA,76,"TL","61.70000076293945","SL","50","SL",NA,NA,"0",250,6793,NA,NA,NA,"1584",3.48000001907349,0.319999992847443,TRUE,5.5,NA,NA,1
363,"Amblyraja_radiata",0,"Fish","Rajiformes","Rajidae","Amblyraja","radiata","NULL","Thorny Skate","Georges Bank",41.721127,-65.910905,"Marine","Biomass indices (tonnes)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","45","63","40","NULL","NULL","NULL","Starry ray",27314,28,NA,105,"TL",NA,NA,NA,NA,NA,NA,"5",1540,117245,25,440,114953,"2565",4.19999980926514,0.26800000667572,TRUE,NA,NA,NA,NA
364,"Amblyraja_radiata",1,"Fish","Rajiformes","Rajidae","Amblyraja","radiata","NULL","Thorny Skate","4X",42.72956311,-65.0988351,"Marine","Biomass (t)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","372","606","69","NULL","NULL","NULL","NULL","Starry ray",27314,28,NA,105,"TL",NA,NA,NA,NA,NA,NA,"5",1540,117245,25,440,114953,"2565",4.19999980926514,0.26800000667572,TRUE,NA,NA,NA,NA
365,"Amblyraja_radiata",1,"Fish","Rajiformes","Rajidae","Amblyraja","radiata","NULL","Thorny Skate","4VW",43.43761069,-57.69088789,"Marine","Biomass (t)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","705","1111","1184","NULL","NULL","NULL","NULL","Starry ray",27314,28,NA,105,"TL",NA,NA,NA,NA,NA,NA,"5",1540,117245,25,440,114953,"2565",4.19999980926514,0.26800000667572,TRUE,NA,NA,NA,NA
426,"Anarhichas_lupus",1,"Fish","Perciformes","Anarhichadidae","Anarhichas","lupus","NULL","Atlantic wolffish","4X",42.72956311,-65.0988351,"Marine","Biomass (t)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","25","208","113","NULL","NULL","NULL","NULL","Atlantic wolffish",4694,NA,NA,150,"TL",NA,NA,NA,NA,NA,NA,"1",600,58426,18,110,7135,"2501",3.85999989509583,0.389999985694885,FALSE,NA,NA,NA,NA
432,"Anarhichas_lupus",1,"Fish","Perciformes","Anarhichadidae","Anarhichas","lupus","NULL","Atlantic wolffish","4VW",42.86687747,-61.18130929,"Marine","Biomass (t)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","267","142","159","NULL","NULL","NULL","NULL","Atlantic wolffish",4694,NA,NA,150,"TL",NA,NA,NA,NA,NA,NA,"1",600,58426,18,110,7135,"2501",3.85999989509583,0.389999985694885,FALSE,NA,NA,NA,NA
519,"Anguilla_rostrata",0,"Fish","Anguilliformes","Anguillidae","Anguilla","rostrata","NULL","American Eel","Cheticamp - Cape Breton National Park",46.66261181,-60.94524036,"Freshwater","Density (count/area)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.021174671","0.023565453","NULL","NULL","NULL","NULL","American eel",5723,43,50,152,"TL","122","TL","50","TL",NA,NA,"0",464,57178,NA,NA,NA,"296",3.82999992370605,0.216000005602837,TRUE,14.5,NA,NA,2
