"","Binomial","Class","Order","Family","body_mass_g","SVL_mm","longevity_years","diet","clutch_size_n","offspring_size_mm","age_maturity_years"
"1","Ambystoma_macrodactylum","Amphibia","Caudata","Ambystomatidae","5.33","248","10","carnivore","250.5","2.15","2"
"2","Graptemys_geographica","Reptilia","Testudines","Emydidae","1138","","19.96666667","carnivore","12","",""
"3","Pseudacris_triseriata","Amphibia","Anura","Hylidae","1","39","","","616","0.975",""
"4","Necturus_maculosus","Amphibia","Caudata","Proteidae","220.1","486","34","carnivore","52","5.5","6.5"
"5","Storeria_dekayi","Reptilia","Squamata","Colubridae","45","231","7","carnivore","11.8","","2"
"6","Nerodia_sipedon","Reptilia","Squamata","Colubridae","1306","644","9.6","carnivore","30","","2.00068493150685"
"7","Sternotherus_odoratus","Reptilia","Testudines","Kinosternidae","137.9","","54.90833333","omnivore","3.025","","4.37512328767123"
"8","Chrysemys_picta","Reptilia","Testudines","Emydidae","371.8","","61","omnivore","6","","5.75161643835616"
"9","Dermochelys_coriacea","Reptilia","Testudines","Dermochelyidae","420000","","80","carnivore","82.3","",""
"10","Lithobates_sylvaticus","Amphibia","Anura","Ranidae","17.6","83","5.2","carnivore","1750","2","1.85"
"11","Anaxyrus_boreas","Amphibia","Anura","Bufonidae","","125","11.5","omnivore","10856.5","1.725","5"
"12","Ascaphus_truei","Amphibia","Anura","Ascaphidae","","50","20","carnivore","62","5.5","2.5"
"13","Taricha_granulosa","Amphibia","Caudata","Salamandridae","12.32","216","12","carnivore","","1.9","4.5"
"14","Plethodon_vehiculum","Amphibia","Caudata","Plethodontidae","46","115","11.1","","19","4.5","2.75"
"15","Ensatina_eschscholtzii","Amphibia","Caudata","Plethodontidae","61","149","15","","14","","2.75"
"16","Eurycea_bislineata","Amphibia","Caudata","Plethodontidae","1.05","123","","carnivore","27.5","2.75","3.5"
"17","Desmognathus_fuscus","Amphibia","Caudata","Plethodontidae","1.5","100.5","4.3","carnivore","26.5","2.875","3"
"18","Gyrinophilus_porphyriticus","Amphibia","Caudata","Plethodontidae","10","232","18.5","","61","3.75","4"
"19","Desmognathus_ochrophaeus","Amphibia","Caudata","Plethodontidae","0.6","90.5","20","","20","3.5","3"
"20","Hyla_versicolor","Amphibia","Anura","Hylidae","7.2","60","7.8","carnivore","1800","1.55","2"
"21","Lithobates_palustris","Amphibia","Anura","Ranidae","","87","","","1616","1.6",""
"22","Clemmys_guttata","Reptilia","Testudines","Emydidae","165.4","","30","omnivore","4.29","","8"
"23","Ambystoma_gracile","Amphibia","Caudata","Ambystomatidae","6.4","219","10.2","carnivore","150","2","2"
"24","Ambystoma_maculatum","Amphibia","Caudata","Ambystomatidae","24","248","32","","257","2.4","2.5"
"25","Thamnophis_sirtalis","Reptilia","Squamata","Colubridae","150","553.571428571429","20","carnivore","12.6","","2.00032876712329"
"26","Anaxyrus_americanus","Amphibia","Anura","Bufonidae","118.7","111","36","omnivore","11000","1.5","3"
"27","Anaxyrus_hemiophrys","Amphibia","Anura","Bufonidae","","83","13.3","","4677","1","2.5"
"28","Glyptemys_insculpta","Reptilia","Testudines","Emydidae","968.2","","60","omnivore","8","","16"
"29","Crotalus_viridis","Reptilia","Squamata","Viperidae","1647","842","24.1","carnivore","8","",""
"30","Anaxyrus_fowleri","Amphibia","Anura","Bufonidae","34.9","95","5","carnivore","5999","3.5","1.5"
"31","Pseudacris_maculata","Amphibia","Anura","Hylidae","","52","6","carnivore","798","1","1.5"
"32","Ambystoma_mavortium","Amphibia","Caudata","Ambystomatidae","5","","32","","","",""
"33","Rana_pretiosa","Amphibia","Anura","Ranidae","","100","","carnivore","797.5","2.2","2"
"34","Pantherophis_obsoletus","Reptilia","Squamata","Colubridae","6561","","33.9","carnivore","14","","4"
"35","Lithobates_septentrionalis","Amphibia","Anura","Ranidae","25.9","76","6","carnivore","1375","1.7","1.75"
"36","Ambystoma_jeffersonianum","Amphibia","Urodela","Ambystomatidae","17.2","210","3","","210","2.25","2.5"
"37","Chelydra_serpentina","Reptilia","Testudines","Chelydridae","5170","","47","omnivore","26.45","","7.50345205479452"
"38","Emydoidea_blandingii","Reptilia","Testudines","Emydidae","1162","","77","omnivore","9.6","","14.9080547945205"
"39","Lithobates_catesbeianus","Amphibia","Anura","Ranidae","467.8","203","16","omnivore","16750","2.1","3"
"40","Lithobates_clamitans","Amphibia","Anura","Ranidae","47.9","87","10","","2882.5","1.5","2"
"41","Lithobates_pipiens","Amphibia","Anura","Ranidae","39.2","165","9","","5522.5","2","1.5"
"42","Notophthalmus_viridescens","Amphibia","Caudata","Salamandridae","3.9","140","25","carnivore","287.5","1.5","3"
"43","Plestiodon_fasciatus","Reptilia","Squamata","Scincidae","6.7","68.46","","carnivore","8.25","22.5",""
"44","Plethodon_cinereus","Amphibia","Caudata","Plethodontidae","65","412","25","carnivore","7.5","3.5","3"
"45","Pseudacris_crucifer","Amphibia","Anura","Hylidae","4","37","5","","468","1.28","3"
"46","Rana_aurora","Amphibia","Anura","Ranidae","","131","15","","1725","3.6","2.5"
"47","Sistrurus_catenatus","Reptilia","Squamata","Viperidae","384","573.333333333333","20","carnivore","8","","3.01369863013699"
