"","Binomial","Class","Order","Family","body_mass_g","SVL_mm","longevity_years","diet","clutch_size_n","offspring_size_mm","age_maturity_years"
"1","Ascaphus_montanus","Amphibians - Amphibiens","Anura","Ascaphidae","","56","20","carnivore","61.5","4.5","7.5"
"2","Ascaphus_truei","Amphibians - Amphibiens","Anura","Ascaphidae","","50","20","carnivore","62","5.5","2.5"
"3","Anaxyrus_americanus","Amphibians - Amphibiens","Anura","Bufonidae","118.7","111","36","omnivore","11000","1.5","3"
"4","Anaxyrus_boreas","Amphibians - Amphibiens","Anura","Bufonidae","","125","11.5","omnivore","10856.5","1.725","5"
"5","Anaxyrus_cognatus","Amphibians - Amphibiens","Anura","Bufonidae","25","114","10","omnivore","23198","1.15","3.5"
"6","Anaxyrus_fowleri","Amphibians - Amphibiens","Anura","Bufonidae","34.9","95","5","carnivore","5999","3.5","1.5"
"7","Anaxyrus_hemiophrys","Amphibians - Amphibiens","Anura","Bufonidae","","83","13.3","","4677","1","2.5"
"8","Hyla_chrysoscelis","Amphibians - Amphibiens","Anura","Hylidae","11.2","62","7.8","carnivore","2343","1.3","1.75"
"9","Hyla_versicolor","Amphibians - Amphibiens","Anura","Hylidae","7.2","60","7.8","carnivore","1800","1.55","2"
"10","Pseudacris_crucifer","Amphibians - Amphibiens","Anura","Hylidae","4","37","5","","468","1.28","3"
"11","Pseudacris_maculata","Amphibians - Amphibiens","Anura","Hylidae","","52","6","carnivore","798","1","1.5"
"12","Pseudacris_regilla","Amphibians - Amphibiens","Anura","Hylidae","5.6","50","","carnivore","536","1.3","1.5"
"13","Pseudacris_triseriata","Amphibians - Amphibiens","Anura","Hylidae","1","39","","","616","0.975",""
"14","Spea_bombifrons","Amphibians - Amphibiens","Anura","Pelobatidae","","64","","carnivore","381","",""
"15","Spea_intermontana","Amphibians - Amphibiens","Anura","Pelobatidae","","64","20","carnivore","431","",""
"16","Lithobates_catesbeianus","Amphibians - Amphibiens","Anura","Ranidae","467.8","203","16","omnivore","16750","2.1","3"
"17","Lithobates_clamitans","Amphibians - Amphibiens","Anura","Ranidae","47.9","87","10","","2882.5","1.5","2"
"18","Lithobates_palustris","Amphibians - Amphibiens","Anura","Ranidae","","87","","","1616","1.6",""
"19","Lithobates_pipiens","Amphibians - Amphibiens","Anura","Ranidae","39.2","165","9","","5522.5","2","1.5"
"20","Lithobates_septentrionalis","Amphibians - Amphibiens","Anura","Ranidae","25.9","76","6","carnivore","1375","1.7","1.75"
"21","Lithobates_sylvaticus","Amphibians - Amphibiens","Anura","Ranidae","17.6","83","5.2","carnivore","1750","2","1.85"
"22","Rana_aurora","Amphibians - Amphibiens","Anura","Ranidae","","131","15","","1725","3.6","2.5"
"23","Rana_luteiventris","Amphibians - Amphibiens","Anura","Ranidae","68","90","13","carnivore","1275","2.1","2.5"
"24","Rana_pretiosa","Amphibians - Amphibiens","Anura","Ranidae","","100","","carnivore","797.5","2.2","2"
"25","Ambystoma_gracile","Amphibians - Amphibiens","Caudata","Ambystomatidae","6.4","219","10.2","carnivore","150","2","2"
"26","Ambystoma_jeffersonianum","Amphibians - Amphibiens","Caudata","Ambystomatidae","17.2","210","3","","210","2.25","2.5"
"27","Ambystoma_laterale","Amphibians - Amphibiens","Caudata","Ambystomatidae","","129","13","","","","2"
"28","Ambystoma_macrodactylum","Amphibians - Amphibiens","Caudata","Ambystomatidae","5.33","248","10","carnivore","250.5","2.15","2"
"29","Ambystoma_maculatum","Amphibians - Amphibiens","Caudata","Ambystomatidae","24","248","32","","257","2.4","2.5"
"30","Ambystoma_mavortium","Amphibians - Amphibiens","Caudata","Ambystomatidae","5","","32","","","",""
"31","Ambystoma_texanum","Amphibians - Amphibiens","Caudata","Ambystomatidae","10.98","178","13.8","carnivore","625","2.05",""
"32","Ambystoma_tigrinum","Amphibians - Amphibiens","Caudata","Ambystomatidae","79","330","25","carnivore","3710.5","2.5",""
"33","Dicamptodon_tenebrosus","Amphibians - Amphibiens","Caudata","Dicamptodontidae","","340","","carnivore","114.5","",""
"34","Aneides_vagrans","Amphibians - Amphibiens","Caudata","Plethodontidae","","130","","carnivore","7.5","","2.5"
"35","Desmognathus_fuscus","Amphibians - Amphibiens","Caudata","Plethodontidae","1.5","100.5","4.3","carnivore","26.5","2.875","3"
"36","Desmognathus_ochrophaeus","Amphibians - Amphibiens","Caudata","Plethodontidae","0.6","90.5","20","","20","3.5","3"
