"","Binomial","lpi","elton_BodyMass.Value_g","Trophic_Level","amniota_gestation_d","amniota_maximum_longevity_y"
"1","Antilocapra_americana","y",46082.92,"Herbivores",247.44468,15.5
"2","Bos_bison","y",NA,NA,NA,NA
"3","Oreamnos_americanus","y",72500.33,"Herbivores",182.62,20.8
"4","Ovibos_moschatus","n",340501.06,"Herbivores",258,27.4
"5","Ovis_canadensis","y",74644.88,"Herbivores",180,24
"6","Ovis_dalli","y",55650.62,"Herbivores",175.245,24
"7","Alces_americanus","y",541460.44,"Herbivores",241.978125,27
"8","Cervus_canadensis","y",NA,NA,NA,NA
"9","Odocoileus_hemionus","y",54212.57,"Herbivores",207,22
"10","Odocoileus_virginianus","y",55508.56,"Herbivores",201.39,23
"11","Rangifer_tarandus","y",86033.98,"Herbivores",222.5,21.7
"12","Canis_latrans","y",13406.33,"Carnivores",62.3938,21.83333333
"13","Canis_lupus","y",32183.33,"Carnivores",62.1969,29.5
"14","Urocyon_cinereoargenteus","n",3833.72,"Omnivores",61.48,16.2
"15","Vulpes_lagopus","y",3584.37,"Carnivores",52.495,16.3
"16","Vulpes_velox","y",2197.51,"Carnivores",53.7,20
"17","Vulpes_vulpes","y",5476.17,"Omnivores",52.3525,21.3
"18","Lynx_canadensis","y",9373.25,"Carnivores",63,26.8
"19","Lynx_rufus","y",8904.1,"Carnivores",66,32.33333333
"20","Puma_concolor","y",51600.04,"Carnivores",92.3,23.8
"21","Mephitis_mephitis","y",2085.02,"Omnivores",63,13.9
"22","Spilogale_gracilis","n",466.5,"Omnivores",37.24,14
"23","Enhydra_lutris","y",23500,"Carnivores",216.0956,30
"24","Gulo_gulo","y",17012.56,"Omnivores",51.4381075,19.5
"25","Lontra_canadensis","y",8087.42,"Carnivores",61.17636,27
"26","Martes_americana","y",1250,"Omnivores",28,19
"27","Martes_caurina","n",NA,NA,NA,NA
"28","Mustela_erminea","y",119.38,"Carnivores",43.26174,12.5
"29","Mustela_frenata","y",147,"Carnivores",24.95752,8.8
"30","Mustela_nivalis","n",103.88,"Carnivores",36.49,10
"31","Pekania_pennanti","y",NA,NA,NA,NA
"32","Taxidea_taxus","n",7107.55,"Carnivores",43.8,26
"33","Vison_vison","y",NA,NA,NA,NA
"34","Odobenus_rosmarus","y",825000,"Carnivores",353.702,40
"35","Callorhinus_ursinus","n",45133,"Carnivores",254.74932,35
"36","Eumetopias_jubatus","y",310000,"Carnivores",308.05,32.8
"37","Zalophus_californianus","n",80000,"Carnivores",334.84,35.7
"38","Cystophora_cristata","n",288333.5,"Carnivores",334.58,35
"39","Erignathus_barbatus","n",280000,"Carnivores",275.16878,31.4525
"40","Halichoerus_grypus","y",157667,"Carnivores",291.225,46.6725
"41","Mirounga_angustirostris","n",750000,"Carnivores",290.63,20.29166667
"42","Pagophilus_groenlandicus","y",132250,"Carnivores",242.9,42
"43","Phoca_vitulina","y",1e+05,"Carnivores",253.5703,47.6
"44","Pusa_hispida","y",70963.6,"Carnivores",251,46
"45","Procyon_lotor","y",5524.97,"Omnivores",63.91434,21
"46","Ursus_americanus","y",99949.36,"Omnivores",91.008125,34
"47","Ursus_arctos","y",180520.42,"Omnivores",103,50
"48","Ursus_maritimus","y",388750.36,"Carnivores",147.4159375,45
"49","Balaena_mysticetus","y",1e+08,"Carnivores",379.9,211
"50","Eubalaena_glacialis","y",2.3e+07,"Carnivores",347.98,67
"51","Eubalaena_japonica","n",2.3e+07,"Carnivores",350.007,67
"52","Balaenoptera_acutorostrata","y",1e+07,"Carnivores",306.6127,50
"53","Balaenoptera_borealis","n",2e+07,"Carnivores",345.9852,74
"54","Balaenoptera_musculus","y",1.9e+08,"Carnivores",326.97,110
"55","Balaenoptera_physalus","y",7e+07,"Carnivores",342,116
"56","Megaptera_novaeangliae","y",3e+07,"Carnivores",348.83674,95
"57","Delphinus_delphis","y",80000,"Carnivores",296.89,29.025
"58","Globicephala_macrorhynchus","n",726000,"Carnivores",452,63
"59","Globicephala_melas","y",8e+05,"Carnivores",453.4514,60
"60","Grampus_griseus","n",387500,"Carnivores",365.116,42.5
"61","Lagenorhynchus_acutus","y",182000,"Carnivores",319.37,27
"62","Lagenorhynchus_albirostris","n",180000,"Carnivores",334.7,13
"63","Lagenorhynchus_obliquidens","y",120000,"Carnivores",319.01,46
"64","Lissodelphis_borealis","n",113000,"Carnivores",365.28,42
"65","Orcinus_orca","y",4300000,"Carnivores",454.72102,100
"66","Tursiops_truncatus","n",175000,"Carnivores",365,53
"67","Eschrichtius_robustus","y",28500000,"Carnivores",379.9,77
"68","Delphinapterus_leucas","y",1360000,"Carnivores",409.05984,40
"69","Monodon_monoceros","y",9e+05,"Carnivores",450,50
"70","Phocoena_phocoena","y",52500,"Carnivores",307.013125,20.4
"71","Phocoenoides_dalli","y",102500,"Carnivores",346.74,22
"72","Physeter_macrocephalus","n",NA,NA,NA,NA
"73","Berardius_bairdii","n",11380000,"Carnivores",446.49612,84
"74","Hyperoodon_ampullatus","y",5800000,"Carnivores",365,37
"75","Mesoplodon_bidens","y",3400000,"Carnivores",365.232,NA
"76","Mesoplodon_carlhubbsi","n",3400000,"Carnivores",365.256,NA
"77","Mesoplodon_stejnegeri","n",4800000,"Carnivores",365.256,NA
"78","Ziphius_cavirostris","n",4775000,"Carnivores",365,62
"79","Antrozous_pallidus","n",20.8,"Carnivores",60.505,14.8
"80","Corynorhinus_townsendii","n",10.3,"Carnivores",67.49,21.16666667
"81","Eptesicus_fuscus","y",16.46,"Carnivores",43.57,20
"82","Euderma_maculatum","n",15.66,"Carnivores",NA,NA
"83","Lasionycteris_noctivagans","y",10.46,"Carnivores",54.275,12
"84","Lasiurus_borealis","y",10.74,"Carnivores",80,2.575
"85","Lasiurus_cinereus","y",25.28,"Carnivores",56,14
"86","Myotis_californicus","n",4.6,"Carnivores",NA,15
"87","Myotis_ciliolabrum","n",4.89,"Carnivores",NA,15
"88","Myotis_evotis","n",6.7,"Carnivores",50,22
"89","Myotis_keenii","y",6.27,"Carnivores",50,19
"90","Myotis_leibii","n",5.13,"Carnivores",NA,12
"91","Myotis_lucifugus","y",7.65,"Carnivores",57.395,34
"92","Myotis_septentrionalis","y",7.74,"Carnivores",50,19
"93","Myotis_thysanodes","n",8.13,"Carnivores",55,18.3
"94","Myotis_volans","n",8.46,"Carnivores",NA,21
"95","Myotis_yumanensis","n",5.39,"Carnivores",NA,14
"96","Perimyotis_subflavus","n",5.76,"Carnivores",44.855,15
"97","Didelphis_virginiana","n",2195.48,"Omnivores",12.345,7
"98","Lepus_americanus","y",1710.02,"Herbivores",36.85096,8
"99","Lepus_arcticus","y",4405.04,"Omnivores",50.2194,18
"100","Lepus_townsendii","n",1555,"Herbivores",39.99622,8
"101","Sylvilagus_floridanus","n",1172.79,"Herbivores",28.6962,9.8
"102","Sylvilagus_nuttallii","y",755.09,"Herbivores",29.52292,7.4
"103","Ochotona_collaris","y",129,"Herbivores",30.218,6
"104","Ochotona_princeps","n",157.63,"Herbivores",30.436,7.316666667
"105","Aplodontia_rufa","n",1003.99,"Herbivores",29.91364,10
"106","Castor_canadensis","y",21820,"Herbivores",114.43936,23.4
"107","Dicrostonyx_groenlandicus","y",54.4,"Herbivores",20.84,3.3
"108","Dicrostonyx_hudsonius","n",57,"Herbivores",20.19606,0.666666667
"109","Dicrostonyx_nunatakensis","n",60.82,"Herbivores",20.84,3.3
"110","Dicrostonyx_richardsoni","n",55,"Herbivores",20.76824,3.3
"111","Lemmiscus_curtatus","n",28.27,"Herbivores",25.05876,NA
"112","Lemmus_trimucronatus","y",69.82,"Herbivores",20.77,1.666666667
"113","Microtus_chrotorrhinus","n",39,"Herbivores",20.19606,NA
"114","Microtus_longicaudus","y",46.71,"Herbivores",NA,1.166666667
"115","Microtus_miurus","n",41,"Herbivores",21,2.141666667
"116","Microtus_montanus","y",36.33,"Herbivores",21.2176,NA
"117","Microtus_ochrogaster","n",38.01,"Herbivores",22.52264,5.325
"118","Microtus_oeconomus","y",34.38,"Herbivores",21.55978,2.166666667
"119","Microtus_oregoni","n",20.35,"Herbivores",23.78504,1.25
"120","Microtus_pennsylvanicus","y",36.75,"Herbivores",21.2726,2.908333333
"121","Microtus_pinetorum","n",26.28,"Herbivores",22.827,3.825
"122","Microtus_richardsoni","n",85,"Herbivores",24.8412,1.5
"123","Microtus_townsendii","y",64.75,"Herbivores",23.0135,NA
"124","Microtus_xanthognathus","n",125.75,"Herbivores",NA,NA
"125","Myodes_gapperi","y",19.83,"Omnivores",17.97862,2.408333333
"126","Myodes_rutilus","y",19.94,"Omnivores",23.70786,NA
"127","Neotoma_cinerea","n",299.15,"Omnivores",29.75864,5.825
"128","Ondatra_zibethicus","n",1065.75,"Omnivores",27.77838,10
"129","Onychomys_leucogaster","n",27.92,"Omnivores",31.63,5.6
"130","Peromyscus_keeni","n",28.25,"Omnivores",26,8.333333333
"132","Peromyscus_leucopus","y",21.17,"Omnivores",25.26188,8
"133","Peromyscus_maniculatus","y",21.28,"Omnivores",26,8.333333333
"134","Phenacomys_intermedius","y",25.2,"Herbivores",22.01478,4
"135","Phenacomys_ungava","n",32.5,"Herbivores",22.355,4
"136","Reithrodontomys_megalotis","y",9.37,"Herbivores",23.31568,3.575
"137","Synaptomys_borealis","n",21.3,"Omnivores",NA,NA
"138","Synaptomys_cooperi","n",31.92,"Omnivores",23.36786,2.5
"139","Napaeozapus_insignis","y",22.3,"Omnivores",23.08286,4
"140","Zapus_hudsonius","y",17.12,"Omnivores",19,5.6
