"","UUID","Binomial","hwi","range_size","diet","mean_adult_body_mass_g","BodySize","LifeSpan","mean_longevity_y","TrophicLevel"
"1","d64be527-ab47-4b7e-ae5f-df3bcf60749d","Aegolius_acadicus",29.78209542,688,"vertebrates",95.625,0.00928398058252427,17.5,8.408333333,3
"2","7b26f05d-f120-4d63-af31-16d4b42c2fab","Anas_acuta",59.44288563,3130,"plants",872.25,0.0846844660194175,27.417,26.95,1
"3","2332254b-1b2a-4a03-a50b-7c1481a3086f","Anas_crecca",54.77737555,3557,"plants",343.8,0.033378640776699,27.1,21,1
"4","27805092-40aa-4807-bf47-670da251511b","Anas_platyrhynchos",50.77664373,4330,"omnivore",1122,0.108932038834951,29.1,27.245833335,2
"5","15b077b4-24a1-4a17-8b00-9484a7efb6df","Athene_cunicularia",28.3254318,1427,"vertebrates",150.6,0.014621359223301,11,8.7,3
"6","2ac8b567-8a47-420f-ac5b-ea98b3ccc92b","Aythya_americana",46.04050562,829,"plants",1056.25,0.10254854368932,22.6,21.4,1
"7","4702e951-44d7-4167-adf9-54e814abeab3","Aythya_valisineria",41.92579059,707,"plants",1218.666667,0.118317152135922,29.5,22.4,1
"8","a78c4564-152f-43a5-83d3-d6e6aff33774","Lagopus_lagopus",39.00870335,2396,"plants",595,0.0577669902912621,9,8.583166667,1
"9","ce1c9ffd-95f3-42a9-a082-794e85bb7bd2","Calidris_mauri",49.00309054,135,"invertebrates",26.71666667,0.00259385113300971,9.2,9.1835,3
"10","84b0a525-404b-4b2a-9eb3-cace6d592a99","Aechmophorus_occidentalis",40.86705534,508,"vertebrates",1314,0.127572815533981,14,14,3
"11","09222f92-6ff1-416d-b872-e2a7aa0760b7","Bubo_scandiacus",41.06358333,707,"vertebrates",1954,0.189708737864078,28,14,3
"12","6b66a862-0a51-4299-b86f-ad22c15d81a5","Buteo_lagopus",41.83607961,1086,"vertebrates",945.5,0.0917961165048544,18.8,17.9,3
"13","80e68475-13e2-4a29-b2a9-8de22dee2e46","Sterna_dougallii",69.12086979,661,"vertebrates",112,0.010873786407767,25.7,23.83333333,3
"14","a918f3cd-7f85-4886-92a8-b0a0acd1150b","Calidris_ptilocnemis",49.82517118,60,"invertebrates",79.65,0.00773300970873787,7.34,7.333333333,3
"15","dd038f03-fa7b-49c5-8a50-3b5f06cfc876","Fulmarus_glacialis",51.14210464,443,"vertebrates",785,0.0762135922330097,51,38.95833333,3
"16","16119746-06b2-4cd1-9e46-e381bcdaaeed","Asio_otus",44.93714137,3067,"vertebrates",262.75,0.0255097087378641,27.8,27.775,3
"17","b30b6721-164c-4006-ab5b-8c988ab2976e","Calcarius_lapponicus",30.83074243,1154,"omnivore",28,0.00271844660194175,6,5,2
"18","55a1f3ed-c147-4fbd-a0d3-d4eda66b1c8f","Anser_albifrons",52.57116138,1302,"plants",2387.5,0.231796116504854,47,25.25,1
"19","be3ab590-7bf5-45d5-a3ad-5a576b490a2a","Branta_hutchinsii",44.57705691,295,"plants",3661.666667,0.35550161815534,42,25.85833333,1
"20","ebce6be2-3d79-42e5-90ad-9ef4ccc12f32","Arenaria_melanocephala",51.04326672,38,"invertebrates",118.9,0.0115436893203884,NA,NA,3
"21",NA,"Haematopus bachmani",40.82713585,68,"invertebrates",717.5,0.0696601941747573,NA,NA,3
"22","630c0ede-7e81-4fac-8ed4-f66535302b10","Dendragapus_fuliginosus",39.85717226,89,"plants",1059,0.102815533980583,14,12.5,1
"23","809db997-b08c-4c5b-8dc1-84e03751471b","Tringa_incana",55.25403638,295,"invertebrates",111.25,0.0108009708737864,NA,NA,3
"24","1718c598-7a2b-4d39-9ad2-410bcd716c18","Leucosticte_tephrocotis",36.85577617,290,"omnivore",32.6,0.00316504854368932,24,6.591666667,2
"25","677b8644-0df7-42f6-9c75-beb4af00bf0d","Anthus_rubescens",28.37522504,2218,"invertebrates",21.18333333,0.0020566343038835,8.916666667,5.1,3
"26","bd589ff2-fa18-4d4c-bddc-63b469efd8cd","Falco_peregrinus",55.42239926,6250,"vertebrates",827.25,0.0803155339805825,25,17.33666667,3
"27","38a8f39b-1108-43a5-bfd1-a753d9edbcd7","Zonotrichia_atricapilla",22.87820513,227,"omnivore",31.625,0.00307038834951456,10.5,10.5,2
"28","2cae8cf0-ccc3-4e3d-a693-e06be87bff10","Calcarius_pictus",28.11385284,582,"omnivore",26.4,0.00256310679611651,5,5,2
"29","78ff438d-a2a9-41ab-b67b-4f0f1451778d","Zonotrichia_leucophrys",23.32851331,805,"invertebrates",27.96,0.00271456310679612,13.34,13.3,3
