"","UUID","Binomial","BodySize","TrophicLevel","amniota_gestation_d","LifeSpan"
"1","f23f7b61-0019-4a35-97fb-4acc2bb2d7f2","Tamiasciurus_hudsonicus",1.05878947368421e-06,2,37,12
"2","9ed8bd71-5341-435d-b9b9-1ac3b94b7188","Tamiasciurus_douglasii",1.18421052631579e-06,2,38.825,5.491666667
"3","d305baf3-8da7-48eb-8e23-ce87b6859648","Glaucomys_sabrinus",8.73684210526316e-07,1,40,14.2
"4",NA,"Poliocitellus_franklinii",1.91052631578947e-06,2,28,7.2
"5",NA,"Urocitellus_columbianus",2.59473684210526e-06,2,24.2,4.241666667
"6","e60dfa83-4caa-4136-9b29-b07d2b4471c0","Cynomys_ludovicianus",7.17894736842105e-06,1,35.41506,18
"7","988a7113-5454-4e9e-9bd3-316091b36261","Marmota_vancouverensis",3.31578421052632e-05,1,30,12.1
"8","8336a8a3-7a3e-4cbc-9386-b22658d04201","Tamias_striatus",5.89e-07,2,31.25,9.5
"9","030e272d-7187-467d-9caf-e631ae381b60","Castor_canadensis",0.000114842105263158,1,114.43936,23.4
"10","410a3ed6-4c35-4b92-968c-fff76a315301","Dipodomys_ordii",3.17894736842105e-07,2,29.91082,9.9
"11","f025959b-55af-4a02-aa09-d0cb022634f2","Perognathus_parvus",1.14631578947368e-07,2,24,5.8
"12","deac44ec-db87-4468-a174-d15e4d80f8ee","Napaeozapus_insignis",1.17368421052632e-07,2,23.08286,4
"13","af6a50c7-7266-41e1-807b-dd5f7836a062","Zapus_hudsonius",9.01052631578947e-08,2,19,5.6
"14","d5c350c9-6415-40e0-a7e0-8ba3c165a58a","Zapus_princeps",1.52631578947368e-07,2,18.11,6
"15","d1035000-aea5-4028-a33e-1b891f8ff08b","Microtus_longicaudus",2.45842105263158e-07,1,NA,1.166666667
"16","2d9960aa-3f1b-43a1-a085-7b6b08bd770d","Microtus_oeconomus",1.80947368421053e-07,1,21.55978,2.166666667
"17","450ec303-7406-4e11-a092-d3b11aa857c0","Microtus_montanus",1.91210526315789e-07,1,21.2176,NA
"18","d60983e6-0218-4c41-ad82-37b5c80a08db","Microtus_townsendii",3.40789473684211e-07,1,23.0135,NA
"19","d8654f7e-81ff-46d6-be47-00b36a03e17a","Microtus_pennsylvanicus",1.93421052631579e-07,1,21.2726,2.908333333
"20","ee341834-1c81-406c-ab13-98896294b333","Dicrostonyx_groenlandicus",2.86315789473684e-07,1,20.84,3.3
"21","03f8e44a-fd11-42e7-9244-76036d32379d","Lemmus_trimucronatus",3.67473684210526e-07,1,20.77,1.666666667
"22","11ac6b41-fbea-47cf-9b5a-25129c4c9536","Myodes_rutilus",1.04947368421053e-07,2,23.70786,NA
"23","5aaf4f8f-9b47-479b-8cf9-2f9b43a36698","Myodes_gapperi",1.04368421052632e-07,2,17.97862,2.408333333
"24","ad28eabb-b288-4bb3-9c29-4dd980d2d6e5","Phenacomys_intermedius",1.32631578947368e-07,1,22.01478,4
"25","85563427-8ec6-45e1-8074-af9f5fa84826","Reithrodontomys_megalotis",4.93157894736842e-08,1,23.31568,3.575
"26","b6ba976e-0096-44ac-9d5b-40a9a1a9dae2","Peromyscus_maniculatus",1.12e-07,2,26,8.333333333
"27","e5f28d4a-0c4e-4934-9531-6c74c8e9adfe","Peromyscus_leucopus",1.11421052631579e-07,2,NA,NA
"28","9327edbc-1821-4f48-9cc8-1129c7aa9b1f","Ochotona_collaris",6.78947368421053e-07,1,30.218,6
"29","c0e05b67-e659-4750-b4e5-8ca0a3071c25","Lepus_arcticus",2.31844210526316e-05,2,50.2194,18
"30","263f683b-617e-4861-87a9-e0a0e5fe5c6a","Lepus_americanus",9.00010526315789e-06,1,36.85096,8
"31","1f90bd68-bdc9-4fe2-ac6d-53a4751320af","Sylvilagus_nuttallii",3.97415789473684e-06,1,29.52292,7.4
"32","a0fc252f-9d3a-4959-b6a4-e39599a34bf6","Sorex_cinereus",2.45263157894737e-08,3,18.11,2.5
"33","379caa77-7c3f-4036-adfe-3e19350f28f1","Sorex_vagrans",3.10526315789474e-08,3,20.26106,2.083333333
"34","abfcd60a-cf73-4a87-89d5-10d995d39741","Sorex_monticolus",2.76315789473684e-08,3,20.26106,2.083333333
