ID,Binomial,Replicate,Class,Order,Family,Genus,Species,Subspecies,Common_name,Location,Latitude,Longitude,System,Units,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,Aegolius_acadicus,0,Aves,Strigiformes,Strigidae,Aegolius,acadicus,,Northern saw-whet owl,North America,46.23697,-100.77631,Terrestrial,Annual index values,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.236,0.236,0.239,0.243,0.248,0.25,0.248,0.245,0.24,0.238,0.241,0.249,0.265,0.286,0.314,0.347,0.383,0.421,0.46,0.496,0.525,0.546,0.559,0.564,0.568,0.571,0.582,0.598,0.62,0.644,0.665,0.686,0.701,0.709,0.712,0.708,0.696,0.678,0.658,0.637,0.62,0.608,0.605,0.612,0.631,0.662,0.712,NULL,NULL,NULL,NULL
2,Aegolius_acadicus,1,Birds,Strigiformes,Strigidae,Aegolius,acadicus,brooksi,Saw-whet Owl,BC,53.654053,-132.766173,Terrestrial,Population estimate,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1852,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1756,NULL,NULL,NULL,NULL
3,Albatrossia_pectoralis,0,Actinopterygii,Gadiformes,Macrouridae,Albatrossia,pectoralis,,Giant grenadier,"Queen Charlotte Sound, British Columbia",51.85732,-128.86062,Marine,CPUE (Weight/ (minute towed*tow length)),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.000140722,NULL,NULL,NULL,0.001116405,NULL,0.000267206,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,Albatrossia_pectoralis,0,Actinopterygii,Gadiformes,Macrouridae,Albatrossia,pectoralis,,Giant grenadier,"West Coast Vancouver Island, British Columbia",49.31,-126.78,Marine,CPUE (Weight/ (minute towed*tow length)),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.29E-05,NULL,NULL,NULL,0.000227353,NULL,9.66E-05,NULL,0.000158393,NULL,NULL,NULL,3.85E-05,NULL,NULL,NULL,NULL
5,Albatrossia_pectoralis,0,Actinopterygii,Gadiformes,Macrouridae,Albatrossia,pectoralis,,Giant grenadier,"Haida Gwaii, British Columbia",52,-132,Marine,CPUE (Weight/ (minute towed*tow length)),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.004810101,0.000509888,0.003479728,NULL,0.002350486,NULL,0.006118891,NULL,0.001175171,NULL,0.005813461,NULL,NULL,NULL,NULL
6,Mustela_erminea,0,Mammalia,Carnivora,Mustelidae,Mustela,erminea,,Stoat / Short-tailed weasel / Ermine,Commercially managed forests in Ontario,50.219196,-84.52551,Terrestrial,Individuals per 100 trap nights,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4,0.1,NULL,NULL,NULL
7,Blarina_brevicauda,0,Mammalia,Soricomorpha,Soricidae,Blarina,brevicauda,,Northern short-tailed shrew,Commercially managed forests in Ontario,50.219196,-84.52551,Terrestrial,Individuals per 100 trap nights,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.04,0.3,NULL,NULL,NULL
8,Napaeozapus_insignis,0,Mammalia,Rodentia,Dipodidae,Napaeozapus,insignis,,Woodland jumping mouse,Commercially managed forests in Ontario,50.219196,-84.52551,Terrestrial,Individuals per 100 trap nights,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.4,1.2,NULL,NULL,NULL
9,Myodes_gapperi,0,Mammalia,Rodentia,Cricetidae,Myodes,gapperi,,Southern red-backed vole,Commercially managed forests in Ontario,50.219196,-84.52551,Terrestrial,Individuals per 100 trap nights,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9.6,3.1,NULL,NULL,NULL
10,Albatrossia_pectoralis,1,Fish,Gadiformes,Macrouridae,Albatrossia,pectoralis,NULL,Giant grenadier,West Coast Haida Gwaii,53.338146,-132.883849,Marine,Biomass,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,364080.3087,29489.35282,364699.9346,NULL,168432.9408,NULL,321654.9175,NULL,NULL,NULL,679728.5292,NULL,NULL,NULL,NULL
