IUCN_ID_NO,LPI,CommonName,ScientificName,BinomialName,RedListCategory,degree-days below 0°C (chilling degree days),degree-days above 5°C (growing degree days),mean temperature of the warmest month (°C),mean annual precipitation (mm),mean annual temperature (°C),mean temperature of the coldest month (°C),precipitation as snow (mm),mean annual relative humidity (%),Topographic wetness index,Elevation (meters),Slope (degrees)
222,Y,Shortnose Sturgeon,Acipenser brevirostrum,Acipenser_brevirostrum,Vulnerable,845.4936217,1723.19057,18.38166062,1156.085779,5.370618355,-8.418065676,344.3186403,63.22899808,10.25126439,112.4923625,2.03772848
233,Y,Green Sturgeon,Acipenser medirostris,Acipenser_medirostris,Near Threatened,839.5755042,1058.80098,12.81326214,2659.914523,3.632161779,-5.030098623,1188.908771,71.01662021,8.394863194,797.9600947,15.01129391
234,Y,White Sturgeon,Acipenser transmontanus,Acipenser_transmontanus,Least Concern,991.7172836,1005.430169,13.32859855,1373.595938,2.772679589,-7.865368536,598.2800146,66.30763139,8.399638206,1217.270367,14.2432133
245,Y,Gulf Sturgeon,Acipenser oxyrinchus,Acipenser_oxyrinchus,Near Threatened,1215.743953,1232.251875,15.74872872,1142.101469,2.659423841,-10.69334148,428.0244546,66.49311668,9.849204988,231.7042971,3.160154094
899,Y,Arctic Fox,Vulpes lagopus,Vulpes_lagopus,Least Concern,4741.042667,358.9709318,8.862569486,320.5913403,-10.90745064,-29.00603996,178.7132672,66.46527972,10.48914616,279.2478469,2.266470147
1677,Y,Pronghorn,Antilocapra americana,Antilocapra_americana,Least Concern,1516.304284,1706.094851,19.0342564,382.8293519,3.230579907,-14.87531698,89.78512053,55.48500858,11.25671691,676.9626325,0.718439838
2467,Y,Bowhead Whale,Balaena mysticetus,Balaena_mysticetus,Least Concern,4576.384038,227.9792534,7.568003931,254.231107,-10.93759961,-27.42189226,155.5332404,68.51467948,12.25101113,11.00736225,2.517399795
2474,Y,Common Minke Whale,Balaenoptera acutorostrata,Balaenoptera_acutorostrata,Least Concern,2105.915139,807.7818857,11.19510644,1111.816481,-1.323208159,-13.10713731,290.5754891,71.9491534,11.40296667,20.24271141,4.127551228
2477,Y,Blue Whale,Balaenoptera musculus,Balaenoptera_musculus,Endangered,1738.592141,942.2394132,12.29584528,1163.814715,0.272872994,-11.65044076,295.3512527,71.64738555,11.52884698,18.00592231,3.383165031
2478,Y,Fin Whale,Balaenoptera physalus,Balaenoptera_physalus,Vulnerable,935.3374841,1263.986212,14.72039889,1502.440045,3.94877744,-6.865014619,316.9633227,71.57201878,11.5717841,17.96981945,3.008540296
2815,Y,American Bison,Bison bison,Bison_bison,Near Threatened,2817.147016,1080.520912,15.78031436,375.7126158,-2.616292601,-23.78533085,142.4107441,58.62136525,11.49719265,348.3214904,1.078583974
3179,Y,Western Toad,Anaxyrus boreas,Anaxyrus_boreas,Least Concern,1306.752057,876.147925,12.63394252,1156.90616,1.3179216,-10.52434833,535.3574645,63.55308235,8.762385803,1152.684989,11.30549446
3745,Y,Coyote,Canis latrans,Canis_latrans,Least Concern,1879.733692,1097.674168,14.90219908,791.7077361,0.210933459,-16.17926938,341.4826421,59.69474451,9.935800872,732.9756998,5.194261572
3746,Y,Grey Wolf,Canis lupus,Canis_lupus,Least Concern,3487.082653,664.5671982,11.77247812,517.8363264,-6.077172629,-24.15648593,249.2194555,63.02377571,10.27644568,472.8897231,3.48361032
4003,Y,American Beaver,Castor canadensis,Castor_canadensis,Least Concern,2438.062811,974.9825591,14.51047253,679.021013,-1.854893819,-19.90188889,294.4007407,60.39450476,10.31529715,562.2512552,3.772215511
4292,Y,Basking Shark,Cetorhinus maximus,Cetorhinus_maximus,Endangered,508.4318239,1436.476867,15.52312678,1828.492662,5.999815644,-2.940117884,290.9123583,73.58742988,11.43120628,17.58111476,3.212701308
4975,Y,Northern Red-backed Vole,Myodes rutilus,Myodes_rutilus,Least Concern,4178.983837,489.8973386,11.14337021,361.2008438,-8.681799413,-27.93435362,196.5610979,61.83974843,10.16361181,507.7859135,4.019221182
5362,Y,Cisco,Coregonus artedi,Coregonus_artedi,Lower Risk/least concern,3456.126431,797.9974274,13.21227102,456.2101862,-5.505104716,-25.16507778,189.5504716,62.10172133,10.86827682,314.8167982,1.334225593
5366,Y,Bloater,Coregonus hoyi,Coregonus_hoyi,Vulnerable,1085.642566,1697.486652,18.19742137,828.6844844,4.549843418,-10.65570482,232.2517385,64.35882756,12.25133419,186.216981,0.200491694
5378,Y,Shortjaw Cisco,Coregonus zenithicus,Coregonus_zenithicus,Vulnerable,2445.632584,1234.699544,16.87874221,562.9789707,-1.028311282,-21.69253324,190.7599513,60.13093365,11.11476758,305.1206751,0.755646812
6091,Y,Arizona Black-tailed Prairie Dog,Cynomys ludovicianus,Cynomys_ludovicianus,Least Concern,1249.444335,1728.386867,18.9902632,326.1634111,4.091302893,-12.5986228,74.26479288,51.8400599,10.9204938,869.2675557,0.931137681
6335,Y,Beluga Whale,Delphinapterus leucas,Delphinapterus_leucas,Least Concern,4344.779576,302.8025893,7.905074968,302.2897998,-10.00728828,-26.19727504,171.7222994,68.62657831,12.34864032,11.77546256,2.587255488
6494,Y,Leatherback,Dermochelys coriacea,Dermochelys_coriacea,Vulnerable,515.1620585,1400.337942,15.27759359,2166.323142,5.903475045,-3.048712103,385.0470222,73.72273855,9.626429533,146.775368,7.672028061
6691,Y,Ord's Kangaroo Rat,Dipodomys ordii,Dipodomys_ordii,Least Concern,1239.16224,1681.826687,18.6207103,351.1806833,3.989095638,-12.34379896,86.11267351,54.03895035,10.87806162,856.6422966,1.002834894
7709,Y,Blanding's Turtle,Emydoidea blandingii,Emydoidea_blandingii,Endangered,935.464071,1915.262782,19.47062771,907.2110885,5.671056428,-9.400616337,240.1141987,63.94739286,10.65949799,255.6162936,1.235545679
7750,Y,Sea Otter,Enhydra lutris,Enhydra_lutris,Endangered,133.8864603,1612.969078,14.94989169,3821.425536,8.387285933,2.809066426,236.6557184,75.23934825,9.094510728,177.5946368,10.60428289
7928,Y,Big Brown Bat,Eptesicus fuscus,Eptesicus_fuscus,Least Concern,1704.442026,1330.91034,16.50047998,679.3948215,1.510223684,-15.79956342,243.1344181,58.94976678,10.56375238,634.7338217,3.042845559
8004,Y,North American Porcupine,Erethizon dorsata,Erethizon_dorsata,Least Concern,2326.135921,1004.074912,14.68540923,694.7807036,-1.428209375,-19.42032347,302.7963135,60.02357035,10.27484033,591.6442831,3.908890261
8097,Y,Gray Whale,Eschrichtius robustus,Eschrichtius_robustus,Least Concern,1291.974329,1281.772136,13.98726799,1962.210559,3.379932251,-5.85052948,191.427552,74.79379269,12.21962791,11.88670153,3.131263744
8239,Y,Steller Sea Lion,Eumetopias jubatus,Eumetopias_jubatus,Near Threatened,184.1810723,1582.21238,15.16162422,2548.664102,7.96915154,1.248691324,228.2211851,76.71496951,11.69996549,15.22265027,4.029312849
8951,Y,Threespined Stickleback,Gasterosteus aculeatus,Gasterosteus_aculeatus,Least Concern,2503.545277,758.2231264,12.2246161,905.149334,-2.809724158,-18.68213069,404.2820634,65.8660761,10.2301902,314.2249394,3.54585018
9250,Y,Long-finned Pilot Whale,Globicephala melas,Globicephala_melas,Least Concern,1167.799595,1182.611674,15.04300416,1061.510825,2.664903521,-9.924430979,367.1137452,69.00828032,11.48984606,20.07845749,2.489268548
9561,Y,Wolverine,Gulo gulo,Gulo_gulo,Least Concern,3971.217594,505.1642026,10.40723085,449.7989573,-8.066845366,-26.01148954,234.6959312,64.39561509,10.20703842,456.8324696,3.744364357
9660,Y,Grey Seal,Halichoerus grypus,Halichoerus_grypus,Least Concern,824.6377423,1319.428925,15.95894662,1185.262604,4.206883896,-6.993735504,345.58251,70.50683093,11.22707435,20.13230542,2.54086421
10030,Y,Bluntnose Sixgill Shark,Hexanchus griseus,Hexanchus_griseus,Near Threatened,166.2501577,1595.581918,15.14075632,2539.594164,8.115645175,1.662023411,200.6661497,77.04828299,13.31946606,1.781986692,1.564293833
