IUCN_ID_NO,LPI,CommonName,ScientificName,BinomialName,RedListCategory,Area_km2,Clip_area_km2,Proportion_CAN,Range_CAN
222,Y,Shortnose Sturgeon,Acipenser brevirostrum,Acipenser_brevirostrum,Vulnerable,202151.1524,19556.69401,0.096743,9.674293
233,Y,Green Sturgeon,Acipenser medirostris,Acipenser_medirostris,Near Threatened,184686.1101,29227.87537,0.158257,15.825703
234,Y,White Sturgeon,Acipenser transmontanus,Acipenser_transmontanus,Least Concern,554001.8919,185258.7402,0.334401,33.440092
245,Y,Gulf Sturgeon,Acipenser oxyrinchus,Acipenser_oxyrinchus,Near Threatened,825596.5326,459746.8049,0.556866,55.68662
899,Y,Arctic Fox,Vulpes lagopus,Vulpes_lagopus,Least Concern,10734050.16,4710659.541,0.438852,43.885202
1677,Y,Pronghorn,Antilocapra americana,Antilocapra_americana,Least Concern,2007658.072,93677.21721,0.04666,4.665995
2467,Y,Bowhead Whale,Balaena mysticetus,Balaena_mysticetus,Least Concern,9196297.635,2423993.162,0.263584,26.358359
2474,Y,Common Minke Whale,Balaenoptera acutorostrata,Balaenoptera_acutorostrata,Least Concern,344889074.6,2761719.442,0.008008,0.800756
2477,Y,Blue Whale,Balaenoptera musculus,Balaenoptera_musculus,Endangered,343235424.6,2605954.317,0.007592,0.759232
2478,Y,Fin Whale,Balaenoptera physalus,Balaenoptera_physalus,Vulnerable,220820419.7,2325319.996,0.01053,1.053037
2815,Y,American Bison,Bison bison,Bison_bison,Near Threatened,140672.7305,105004.3279,0.746444,74.644409
3179,Y,Western Toad,Anaxyrus boreas,Anaxyrus_boreas,Least Concern,2853822.604,886896.1015,0.310775,31.077478
3745,Y,Coyote,Canis latrans,Canis_latrans,Least Concern,14922522.56,3978079.543,0.266582,26.658224
3746,Y,Grey Wolf,Canis lupus,Canis_lupus,Least Concern,55643506.8,8357819.19,0.150203,15.020296
4003,Y,American Beaver,Castor canadensis,Castor_canadensis,Least Concern,15418017.6,6715563.458,0.435566,43.556595
4292,Y,Basking Shark,Cetorhinus maximus,Cetorhinus_maximus,Endangered,208197989.1,1743911.165,0.008376,0.837622
4975,Y,Northern Red-backed Vole,Myodes rutilus,Myodes_rutilus,Least Concern,18530124.83,2210976.39,0.119318,11.931794
5362,Y,Cisco,Coregonus artedi,Coregonus_artedi,Lower Risk/least concern,6301670.324,5787457.124,0.9184,91.840049
5366,Y,Bloater,Coregonus hoyi,Coregonus_hoyi,Vulnerable,302413.7937,92936.86671,0.307317,30.731689
5378,Y,Shortjaw Cisco,Coregonus zenithicus,Coregonus_zenithicus,Vulnerable,1107367.619,946199.1932,0.854458,85.445807
6091,Y,Arizona Black-tailed Prairie Dog,Cynomys ludovicianus,Cynomys_ludovicianus,Least Concern,1820797.154,3388.937625,0.001861,0.186124
6335,Y,Beluga Whale,Delphinapterus leucas,Delphinapterus_leucas,Least Concern,9713006.162,2570336.973,0.264628,26.462837
6494,Y,Leatherback,Dermochelys coriacea,Dermochelys_coriacea,Vulnerable,206472046.1,1439317.189,0.006971,0.6971
6691,Y,Ord's Kangaroo Rat,Dipodomys ordii,Dipodomys_ordii,Least Concern,3419728.708,79805.14573,0.023337,2.333669
