CODE - CODE,TAXONOMIC GROUP - GROUPE TAXONOMIQUE,ORDER - ORDRE,FAMILY - FAMILLE,SCIENTIFIC NAME - NOM SCIENTIFIQUE,Binomial,ENGLISH COMMON NAME,CA
GS000494,Fishes - Poissons,Acipenseriformes,Acipenseridae,Acipenser brevirostrum,Acipenser_brevirostrum,,N3
GS000495,Fishes - Poissons,Acipenseriformes,Acipenseridae,Acipenser fulvescens,Acipenser_fulvescens,,N3
GS000496,Fishes - Poissons,Acipenseriformes,Acipenseridae,Acipenser medirostris,Acipenser_medirostris,,"NUB,N3N,N3M"
GS000497,Fishes - Poissons,Acipenseriformes,Acipenseridae,Acipenser oxyrinchus,Acipenser_oxyrinchus,,"N3B,NUN,NUM"
GS000498,Fishes - Poissons,Acipenseriformes,Acipenseridae,Acipenser transmontanus,Acipenser_transmontanus,,"N2B,NUN,NUM"
GS006854,Fishes - Poissons,Albuliformes,Halosauridae,Aldrovandia affinis,Aldrovandia_affinis,,NU
GS006855,Fishes - Poissons,Albuliformes,Halosauridae,Aldrovandia gracilis,Aldrovandia_gracilis,,NU
GS006856,Fishes - Poissons,Albuliformes,Halosauridae,Aldrovandia oleosa,Aldrovandia_oleosa,,NU
GS006857,Fishes - Poissons,Albuliformes,Halosauridae,Aldrovandia phalacra,Aldrovandia_phalacra,,N5
GS006858,Fishes - Poissons,Albuliformes,Halosauridae,Halosauropsis macrochir,Halosauropsis_macrochir,,NU
GS006859,Fishes - Poissons,Albuliformes,Notacanthidae,Lipogenys gillii,Lipogenys_gillii,,NU
GS006860,Fishes - Poissons,Albuliformes,Notacanthidae,Notacanthus bonaparte,Notacanthus_bonaparte,,NU
GS006861,Fishes - Poissons,Albuliformes,Notacanthidae,Notacanthus chemnitzii,Notacanthus_chemnitzii,,N5
GS006862,Fishes - Poissons,Albuliformes,Notacanthidae,Polyacanthonotus challengeri,Polyacanthonotus_challengeri,,NU
GS006863,Fishes - Poissons,Albuliformes,Notacanthidae,Polyacanthonotus rissoanus,Polyacanthonotus_rissoanus,,N5
GS000500,Fishes - Poissons,Amiiformes,Amiidae,Amia calva,Amia_calva,,N4N5
GS000501,Fishes - Poissons,Anguilliformes,Anguillidae,Anguilla rostrata,Anguilla_rostrata,,"N2N4N,N2N4M"
GS006867,Fishes - Poissons,Anguilliformes,Colocongridae,Thalassenchelys coheni,Thalassenchelys_coheni,,NU
GS006870,Fishes - Poissons,Anguilliformes,Congridae,Conger oceanicus,Conger_oceanicus,,"N5N,N5M"
GS006875,Fishes - Poissons,Anguilliformes,Congridae,Xenomystax atrarius,Xenomystax_atrarius,,NU
GS006876,Fishes - Poissons,Anguilliformes,Derichthyidae,Derichthys serpentinus,Derichthys_serpentinus,,NU
GS006877,Fishes - Poissons,Anguilliformes,Derichthyidae,Nessorhamphus ingolfianus,Nessorhamphus_ingolfianus,,N5
GS006882,Fishes - Poissons,Anguilliformes,Nemichthyidae,Avocettina infans,Avocettina_infans,,NU
GS006885,Fishes - Poissons,Anguilliformes,Nemichthyidae,Nemichthys scolopaceus,Nemichthys_scolopaceus,,N5
GS030317,Fishes - Poissons,Anguilliformes,Nettastomatidae,Venefica ocella,Venefica_ocella,,NU
GS006887,Fishes - Poissons,Anguilliformes,Nettastomatidae,Venefica procera,Venefica_procera,,NU
GS030318,Fishes - Poissons,Anguilliformes,Nettastomatidae,Venefica tentaculata,Venefica_tentaculata,,NU
GS006895,Fishes - Poissons,Anguilliformes,Ophichthidae,Ophichthus cruentifer,Ophichthus_cruentifer,,NU
GS006898,Fishes - Poissons,Anguilliformes,Serrivomeridae,Serrivomer beanii,Serrivomer_beanii,,N5
GS006899,Fishes - Poissons,Anguilliformes,Serrivomeridae,Serrivomer jesperseni,Serrivomer_jesperseni,,NU
GS006900,Fishes - Poissons,Anguilliformes,Serrivomeridae,Serrivomer lanceolatoides,Serrivomer_lanceolatoides,,N5
GS006901,Fishes - Poissons,Anguilliformes,Synaphobranchidae,Histiobranchus bathybius,Histiobranchus_bathybius,,NU
GS006902,Fishes - Poissons,Anguilliformes,Synaphobranchidae,Ilyophis brunneus,Ilyophis_brunneus,,NU
GS006903,Fishes - Poissons,Anguilliformes,Synaphobranchidae,Simenchelys parasitica,Simenchelys_parasitica,,N5
GS006904,Fishes - Poissons,Anguilliformes,Synaphobranchidae,Synaphobranchus affinis,Synaphobranchus_affinis,,NU
GS030319,Fishes - Poissons,Anguilliformes,Synaphobranchidae,Synaphobranchus brevidorsalis,Synaphobranchus_brevidorsalis,,NU
GS006905,Fishes - Poissons,Anguilliformes,Synaphobranchidae,Synaphobranchus kaupii,Synaphobranchus_kaupii,,N5
GS007270,Fishes - Poissons,Argentiniformes,Alepocephalidae,Alepocephalus tenebrosus,Alepocephalus_tenebrosus,,NU
GS007280,Fishes - Poissons,Argentiniformes,Alepocephalidae,Talismania bifurcata,Talismania_bifurcata,,NU
GS007288,Fishes - Poissons,Argentiniformes,Microstomatidae,Bathylagus pacificus,Bathylagus_pacificus,,NU
