Ordnum	Order	OrderRefNo	SortNo	Synonym	AuthorYear	CommonName	BodyShapeI	Marine	Brackish	Freshwater	WaterSalinity	FamCount	SpeciesCount	EtymologyOrder	ClassNum	Class	ClassificationRemark	PhylogenyFamilies	PhylFamOrderRefNo	PhylogenyPostion	PhylPosOrderRefNo	SisterOrder	ComAncestor	ComAncRef1	ComAncRef2	PeriodRange	Period	EpochRange	Epoch	Complete	Remark	CAS_LIN	ZooBank_ID	Entered	DateEntered	Modified	DateModified	Expert	DateChecked	CommonName_German	CommonName_French	CommonName_Italian	CommonName_Spanish	CommonName_Portuguese	CommonName_Dutch	CommonName_Chinese	CommonName_Chinese_u	CommonName_Greek	CommonName_Greek_u	CommonName_Russian_u	CommonName_Russian	CommonName_Swedish	Class_Russian	EtymologyClass	TS
83	Acanthuriformes	123477	13825	0	NA	surgeonfishes	NA	-1	-1	-1	Mostly Marine	13	445	NA	6	Actinopteri	NA	Gill et al (2019: Ref YYY).	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	303	2020-02-19T00:00:00Z	NA	NA	303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19	Acipenseriformes	7463	10630	0	NA	sturgeons and paddlefishes	elongated	-1	-1	-1	Marine and Freshwater	2	27	Latin, acipenser = sturgeon + Latin, forma = shape (Ref. 45335).	6	Actinopteri	NA	NA	NA	NA	NA	Polypteriformes	200	30649	30652	middle	Jurassic	NA	NA	-1	Caudal fin heterocercal; myodome and preopercle reduced or absent; gulars absent; skeleton largely cartilaginous; fin rays more numerous than their basals; intestine with spiral valve.	NA	NA	1	1999-12-11T00:00:00Z	2	1999-12-14T00:00:00Z	NA	NA	Störartige	Esturgeons et spatules	Acipenseriformi	NA	Esturjões	Steurachtigen	NA	NA	???????????????	&#913;&#954;&#953;&#960;&#949;&#957;&#963;&#949;&#961;&#972;&#956;&#959;&#961;&#966;&#945;	&#1086;&#1089;&#1077;&#1090;&#1088;&#1086;&#1086;&#1073;&#1088;&#1072;&#1079;&#1085;&#1099;&#1077;	??????????????	störartade fiskar	&#1083;&#1091;&#1095;&#1077;&#1087;&#1077;&#1088;&#1099;&#1077;	Greek aktis = ray, thunderbolt, beam + Greek pterygion, diminutive of pteryx = wing, fin. Ref. 45335.	NA
88	Acropomatiformes	NA	14374	0	NA	NA	NA	-1	-1	-1	Mostly Marine	20	293	NA	6	Actinopteri	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	303	2020-02-19T00:00:00Z	NA	NA	303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24	Albuliformes	7463	10684	0	NA	bonefishes	fusiform / normal	-1	-1	-1	Mostly Marine	1	13	Latin, albulus = whitish (Ref. 45335).	6	Actinopteri	In Wiley & Johnson (2010: Ref. 84927):  Albuliformes.	NA	NA	NA	NA	Notacanthiformes	80	30656	30652	late	Cretaceous	NA	NA	-1	Mandibular sensory canal lying in an open groove in the dentary and angular bones (in all other elopomorphs the groove is roofed, in <i>Albula</i> there is a small roof in the angular).	NA	NA	1	1999-12-11T00:00:00Z	2	1999-12-14T00:00:00Z	NA	NA	Grätenfischartige	Bananes de mer et gisus	Albuliformi	NA	Peixes-banana, falsos-badejo	Gratenvisachtigen	NA	NA	NA	NA	&#1072;&#1083;&#1100;&#1073;&#1091;&#1083;&#1077;&#1086;&#1073;&#1088;&#1072;&#1079;&#1085;&#1099;&#1077;	???????????????	beningartade fiskar	&#1083;&#1091;&#1095;&#1077;&#1087;&#1077;&#1088;&#1099;&#1077;	Greek aktis = ray, thunderbolt, beam + Greek pterygion, diminutive of pteryx = wing, fin. Ref. 45335.	NA
69	Alepocephaliformes	123477	11017	0	NA	slickheads and tubeshoulders.	NA	-1	0	0	All Marine	2	142	 Latin, forma = shape (Ref. 45335).	6	Actinopteri	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	303	2000-04-28T00:00:00Z	NA	NA	303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	Amiiformes	7463	10657	0	NA	bowfins	elongated	0	0	-1	All Freshwater	1	1	Greek, amia = a kind of shark or tunna + Latin, forma = shape (Ref. 45335).	6	Actinopteri	NA	NA	NA	NA	NA	Osteoglossiformes	250	30649	30652	early	Triassic	NA	NA	-1	Caudal fin abbreviate heterocercal; dorsal fin base long, with about 48 rays; large median gular plate and 10-13 branchiostegal rays; swim bladder can function as a lung; no pyloric caeca. Maximum length about 90 cm.	NA	NA	1	1999-12-11T00:00:00Z	2	1999-12-14T00:00:00Z	NA	NA	Schlammfische, Kahlhechte	Amies	Amiformi	NA	Amiiformes	Moddersnoeken	NA	NA	NA	NA	&#1072;&#1084;&#1080;&#1077;&#1086;&#1073;&#1088;&#1072;&#1079;&#1085;&#1099;&#1077;	????????????	bågfenor	&#1083;&#1091;&#1095;&#1077;&#1087;&#1077;&#1088;&#1099;&#1077;	Greek aktis = ray, thunderbolt, beam + Greek pterygion, diminutive of pteryx = wing, fin. Ref. 45335.	NA
79	Anabantiformes	123477	13042	0	NA	gouramies, snakeheads	NA	-1	-1	-1	Mostly Freshwater	8	258	NA	6	Actinopteri	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	303	2020-02-19T00:00:00Z	NA	NA	303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26	Anguilliformes	7463	10711	0	NA	eels and morays	eel-like	-1	-1	-1	Mostly Marine	16	932	Latin, anguila = eel + Latin, forma = shape (Ref. 45335).	6	Actinopteri	In Wiley & Johnson (2010: Ref. 84927):  Anguilliformes.	NA	NA	NA	NA	Saccopharyngiformes	85	30656	NA	middle	Cretaceous	NA	NA	0	Pelvic fins and skeleton absent; pectoral fins and girdle absent in some; pectoral fins, when present, at least midlateral in position or higher and skeleton lacking bony connection to skull (posttemporal absent); dorsal and anal fins confluent with caudal fin (caudal fin rayless or lost in some); scales usually absent or, if present, cycloid and embedded; body very elongate (eel-like); gill openings usually narrow; gill region elongate and gills displaced posteriorly; gill rakers absent; pyloric caeca absent; maxilla toothed, bordering mouth; the two pre-maxillae (rarely absent), the vomer (usually), and the ethmoid united into a single bone; branchiostegal rays 6-49; swim bladder present, duct usually present; oviducts absent; opisthotic, orbitosphenoid, mesocoracoid, gular plate, posttemporal, postcleithra, supramaxilla, and extrascapular bones absent; ossified symplectic absent (cartilaginous one present in Synaphobranchidae); hyomandibular united with quadrate; ribs present or absent.	NA	NA	1	1999-12-11T00:00:00Z	2	1999-12-14T00:00:00Z	NA	NA	Aalartige	Anguilles, congres et murènes	Anguilliformi	NA	Enguias, congros e moreias	Palingachtigen	NA	NA	????????	&#917;&#947;&#967;&#949;&#955;&#949;&#953;&#962;	&#1091;&#1075;&#1088;&#1077;&#1086;&#1073;&#1088;&#1072;&#1079;&#1085;&#1099;&#1077;	????????????	ålartade fiskar	&#1083;&#1091;&#1095;&#1077;&#1087;&#1077;&#1088;&#1099;&#1077;	Greek aktis = ray, thunderbolt, beam + Greek pterygion, diminutive of pteryx = wing, fin. Ref. 45335.	NA
71	Argentiniformes	123477	11890	0	NA	marine smelts	NA	-1	-1	0	All Marine	4	92	NA	6	Actinopteri	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	303	NA	NA	NA	303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
38	Ateleopodiformes	7463	12034	0	NA	jellynose fishes	NA	-1	0	0	All Marine	1	13	Greek, a = without + Greek, teleo, teleio = perfect, complet + Greek, pous = foot + Latin, forma = shape (Ref. 45335).	6	Actinopteri	In Wiley & Johnson (2010: Ref. 84927):  Ateleopodiformes.	NA	NA	NA	NA	Stomiiformes	70	7463	NA	NA	NA	NA	NA	0	Caudal fin reduced, united with the long anal fin; pelvic fin of adults with single ray on throat (young specimens and <i>Guentherus</i> gave several rays, and the pelvics of the latter are behind the pectorals); dorsal fin with 3-13 rays; skeleton largely cartilaginous; snout bilbous; branchiostegal rays 7. Maximum length about 2 m. Marine species.	NA	NA	1	2000-05-09T00:00:00Z	NA	NA	NA	NA	Tiefseequappenartige	Atéléopodes	Ateleopodiformi	NA	Ateleopodiformes	Diepzeekwabben	NA	NA	NA	NA	&#1083;&#1086;&#1078;&#1085;&#1086;&#1076;&#1086;&#1083;&#1075;&#1086;&#1093;&#1074;&#1086;&#1089;&#1090;&#1086;&#1086;&#1073;&#1088;&#1072;&#1079;&#1085;&#1099;&#1077;	????????????????????????	geléfiskar	&#1083;&#1091;&#1095;&#1077;&#1087;&#1077;&#1088;&#1099;&#1077;	Greek aktis = ray, thunderbolt, beam + Greek pterygion, diminutive of pteryx = wing, fin. Ref. 45335.	NA
