"","Binomial","BodySize","TrophicLevel","LifeSpan","lpi"
"1","Antilocapra_americana",46082.92,"herbivore",15.5,"C-LPI"
"2","Bos_bison",NA,NA,NA,"C-LPI"
"3","Oreamnos_americanus",72500.33,"herbivore",20.8,"C-LPI"
"4","Ovibos_moschatus",340501.06,"herbivore",27.4,"C-vertebrates"
"5","Ovis_canadensis",74644.88,"herbivore",24,"C-LPI"
"6","Ovis_dalli",55650.62,"herbivore",24,"C-LPI"
"7","Alces_americanus",541460.44,"herbivore",27,"C-LPI"
"8","Cervus_canadensis",NA,NA,NA,"C-LPI"
"9","Odocoileus_hemionus",54212.57,"herbivore",22,"C-LPI"
"10","Odocoileus_virginianus",55508.56,"herbivore",23,"C-LPI"
"11","Rangifer_tarandus",86033.98,"herbivore",21.7,"C-LPI"
"12","Canis_latrans",13406.33,"carnivore",21.83333333,"C-LPI"
"13","Canis_lupus",32183.33,"carnivore",29.5,"C-LPI"
"14","Urocyon_cinereoargenteus",3833.72,"omnivore",16.2,"C-vertebrates"
"15","Vulpes_lagopus",3584.37,"carnivore",16.3,"C-LPI"
"16","Vulpes_velox",2197.51,"carnivore",20,"C-LPI"
"17","Vulpes_vulpes",5476.17,"omnivore",21.3,"C-LPI"
"18","Lynx_canadensis",9373.25,"carnivore",26.8,"C-LPI"
"19","Lynx_rufus",8904.1,"carnivore",32.33333333,"C-LPI"
"20","Puma_concolor",51600.04,"carnivore",23.8,"C-LPI"
"21","Mephitis_mephitis",2085.02,"omnivore",13.9,"C-LPI"
"22","Spilogale_gracilis",466.5,"omnivore",14,"C-vertebrates"
"23","Enhydra_lutris",23500,"carnivore",30,"C-LPI"
"24","Gulo_gulo",17012.56,"omnivore",19.5,"C-LPI"
"25","Lontra_canadensis",8087.42,"carnivore",27,"C-LPI"
"26","Martes_americana",1250,"omnivore",19,"C-LPI"
"27","Martes_caurina",NA,NA,NA,"C-vertebrates"
"28","Mustela_erminea",119.38,"carnivore",12.5,"C-LPI"
"29","Mustela_frenata",147,"carnivore",8.8,"C-LPI"
"30","Mustela_nivalis",103.88,"carnivore",10,"C-vertebrates"
"31","Pekania_pennanti",NA,NA,NA,"C-LPI"
"32","Taxidea_taxus",7107.55,"carnivore",26,"C-vertebrates"
"33","Vison_vison",NA,NA,NA,"C-LPI"
